id_colegio,internado,politica_uniforme,orientacion_religiosa,alumnos_matriculados,alumnos_prom_curso,genero,actividades_extra,apoyo_academico,deportes,idioma,infraestructura,programas
1,0,1,1,671,18,1,7,6,9,2,10,8
4,0,1,1,1012,34,1,8,6,9,2,8,9
5,0,0,1,782,27,1,4,6,8,3,7,6
7,0,1,1,1162,29,1,3,8,5,2,9,6
8,0,1,1,697,31,1,9,8,9,2,8,9
9,0,1,1,1422,36,1,5,8,8,1,8,8
10,0,0,1,217,21,2,2,8,1,1,5,6
11,0,1,1,331,27,1,4,7,1,2,6,7
12,0,1,1,335,30,1,2,7,3,2,8,8
13,0,1,1,274,27,1,7,7,6,2,7,5
14,0,1,1,354,35,1,3,5,3,2,7,6
16,0,0,1,300,30,1,4,7,8,2,8,7
17,0,1,1,447,27,1,5,8,7,2,6,7
18,0,1,1,361,27,1,5,7,4,2,7,7
19,0,1,1,314,31,1,6,7,6,1,9,8
20,0,1,1,472,23,1,6,8,9,2,7,8
22,0,1,1,957,30,1,5,8,7,1,9,8
25,0,1,1,862,30,1,5,8,8,3,8,6
26,0,0,1,238,23,1,5,8,3,2,10,7
27,0,0,1,321,32,1,5,6,7,2,7,7
28,0,1,1,845,29,1,5,7,7,2,7,7
29,0,1,1,580,29,1,3,8,4,2,8,7
31,0,0,1,413,34,1,4,7,3,3,4,7
32,1,1,1,795,30,1,5,8,6,3,7,8
33,0,0,1,201,20,1,1,7,1,2,3,7
35,0,0,1,115,14,1,2,7,1,2,2,4
36,0,1,1,322,32,1,4,8,2,2,5,7
38,0,1,1,507,29,1,4,5,4,2,4,8
39,0,0,1,71,10,1,0,5,1,2,3,5
41,0,1,1,59,9,1,2,2,1,3,2,5
42,0,0,1,22,3,1,0,5,1,2,2,5
45,0,0,1,1,1,1,1,1,2,1,3,3
50,0,1,8,531,44,1,5,8,8,3,8,7
52,0,1,1,3956,40,1,5,8,9,2,9,8
56,0,1,5,1008,38,1,7,5,8,2,10,8
60,0,1,1,1015,37,1,6,7,8,4,8,7
67,0,1,5,762,31,1,3,1,2,2,6,3
70,0,0,1,11,1,1,2,1,5,2,5,3
72,0,1,1,61,5,1,4,2,2,3,7,7
73,0,0,1,2,1,1,1,1,1,3,6,2
74,0,0,1,14,2,1,0,1,3,2,3,1
75,0,1,1,4,1,1,1,0,1,2,1,0
76,0,0,1,8,2,1,2,1,2,3,1,2
78,0,0,1,1,1,1,1,1,2,1,3,3
79,0,0,1,4,1,1,2,1,2,2,6,9
81,1,0,1,2,1,1,2,3,2,2,2,5
82,0,0,1,2,1,1,3,2,2,2,3,3
83,0,0,1,2,1,1,3,2,2,2,3,3
84,0,0,1,3,1,1,2,3,2,2,4,5
86,0,0,1,7,1,1,1,2,4,2,7,1
87,0,0,1,4,1,1,1,0,1,1,3,2
88,0,0,1,1,1,1,1,1,2,1,3,3
89,0,0,1,1,1,1,1,1,2,1,3,3
90,1,0,1,36,4,1,2,1,3,2,3,4
91,0,0,1,5,1,1,1,1,1,1,3,3
92,0,0,1,4,2,1,1,0,1,1,1,0
93,0,0,1,7,1,1,2,1,2,1,2,1
94,0,0,1,4,1,1,1,1,1,1,3,3
95,0,0,1,1,1,1,1,1,2,1,3,3
97,0,0,1,495,29,1,1,8,2,1,10,8
106,0,0,1,555,30,1,3,5,8,2,11,7
107,0,0,1,472,29,1,3,6,7,1,9,6
108,0,0,1,564,26,1,5,6,7,1,9,7
109,0,0,1,799,31,1,3,8,6,2,9,7
110,0,1,1,956,34,1,5,8,9,2,9,7
111,0,0,1,696,34,1,5,7,7,1,10,7
112,0,1,1,699,34,1,3,7,7,2,4,6
113,0,1,1,966,34,1,3,7,6,2,8,5
114,0,1,1,536,31,1,8,8,9,1,10,9
116,0,1,1,699,34,1,5,8,7,2,9,7
117,0,1,1,715,31,1,3,5,4,2,11,6
119,0,1,1,682,31,1,4,7,9,1,5,7
122,0,1,1,345,34,1,4,7,6,1,9,5
123,0,1,1,550,32,1,4,6,4,3,7,8
124,0,1,1,1215,37,1,3,6,6,1,7,7
125,0,1,1,1156,34,1,5,7,7,2,7,7
126,0,1,1,633,31,1,3,7,6,1,8,7
127,0,0,5,903,37,2,4,4,6,2,10,7
129,0,1,5,338,24,1,2,2,4,2,4,4
130,0,0,1,378,27,1,1,2,1,2,4,2
131,0,1,1,386,32,1,5,5,4,2,8,7
132,0,1,1,1898,35,1,3,4,3,2,6,7
133,0,1,8,755,35,1,2,7,5,2,7,7
134,0,1,1,354,29,1,3,5,1,2,6,5
144,0,1,1,362,30,1,5,4,4,2,4,4
154,0,1,1,46,5,1,1,3,4,2,4,2
156,0,1,1,40,4,1,3,6,1,1,2,3
158,0,0,1,3,1,1,1,1,2,1,3,2
159,0,0,1,2,1,1,2,1,1,2,2,2
160,0,1,1,32,3,1,7,7,3,2,5,3
161,0,1,1,427,22,1,6,8,5,3,7,7
162,0,0,1,41,5,1,8,6,4,2,5,8
165,0,0,1,4,1,1,1,1,2,2,2,5
167,1,0,1,139,15,1,5,2,3,2,8,6
168,0,0,1,5,1,1,2,1,1,2,4,2
169,0,0,1,4,1,1,4,1,3,0,3,5
170,0,0,1,5,2,1,3,1,2,2,1,2
171,0,0,1,7,1,1,2,3,2,2,5,5
172,0,0,1,6,1,1,3,1,1,1,1,3
173,0,0,1,13,2,1,2,1,1,3,2,2
174,0,0,1,24,4,1,2,1,2,2,4,3
175,0,0,1,7,1,1,3,0,3,3,2,3
