rbd;nivel;cod_ense;cod_grado;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;software_aleatorio
8411;9;310;1;0;0;0;-51.724396;-72.505775;105;90;1
8412;-1;10;4;0;0;0;-51.731243;-72.496994;60;60;1
8412;0;10;5;0;0;0;-51.731243;-72.496994;60;7;1
8412;1;110;1;0;0;0;-51.731243;-72.496994;60;0;1
8412;7;110;7;0;0;0;-51.731243;-72.496994;60;12;1
8413;-1;10;4;0;0;0;-51.735889;-72.497765;30;30;1
8413;0;10;5;0;0;0;-51.735889;-72.497765;35;27;1
8413;1;110;1;0;0;0;-51.735889;-72.497765;36;14;1
8413;7;110;7;0;0;0;-51.735889;-72.497765;36;1;1
8415;-1;10;4;0;0;0;-51.730385;-72.487541;25;25;1
8415;0;10;5;0;0;0;-51.730385;-72.487541;35;14;1
8415;1;110;1;0;0;0;-51.730385;-72.487541;35;7;1
8415;7;110;7;0;0;0;-51.730385;-72.487541;35;0;1
8417;-1;10;4;0;0;0;-51.721016;-72.496521;12;12;1
8417;0;10;5;0;0;0;-51.721016;-72.496521;13;3;1
8417;1;110;1;0;0;0;-51.721016;-72.496521;25;9;1
8417;7;110;7;0;0;0;-51.721016;-72.496521;25;4;1
8419;1;110;1;0;0;0;-49.128956;-74.414978;5;5;1
8419;7;110;7;0;0;0;-49.128956;-74.414978;5;5;1
8420;-1;10;4;0;0;0;-51.608013;-72.333633;5;5;1
8420;0;10;5;0;0;0;-51.608013;-72.333633;5;5;1
8420;1;110;1;0;0;0;-51.608013;-72.333633;5;1;1
8421;-1;10;4;0;0;0;-51.736389;-72.493637;70;70;1
8421;0;10;5;0;0;0;-51.736389;-72.493637;80;40;1
8421;1;110;1;0;0;0;-51.736389;-72.493637;81;0;1
8421;7;110;7;0;0;0;-51.736389;-72.493637;83;1;1
8421;9;310;1;0;0;0;-51.736389;-72.493637;80;0;1
8422;-1;10;4;0;0;1;-51.727985;-72.504158;35;35;2
8422;0;10;5;0;0;1;-51.727985;-72.504158;35;3;2
8422;1;110;1;0;0;1;-51.727985;-72.504158;35;7;2
8422;7;110;7;0;0;1;-51.727985;-72.504158;35;0;2
8422;9;310;1;0;0;1;-51.727985;-72.504158;35;0;2
8423;1;110;1;0;0;0;-51.255295;-72.345818;5;5;1
8423;7;110;7;0;0;0;-51.255295;-72.345818;5;1;1
8424;7;110;7;0;0;0;-53.161366;-70.905006;40;38;1
