mrun;id_familia;id_bloque;nivel;es_mujer;prioritario;lat_con_error;lon_con_error
63984; ; ;1;0;0;-53.17664;-70.927956
206823; ; ;9;0;0;-51.733978;-72.508141
390115; ; ;0;1;0;-53.157005;-70.903267
462049; ; ;1;0;1;-53.163025;-70.917061
513098; ; ;1;1;0;-51.736637;-72.479736
573647;404; ;1;0;0;-53.155907;-70.904007
685648; ; ;9;1;1;-53.158424;-70.903168
900740; ; ;9;0;1;-51.737427;-72.477455
1021914; ; ;1;0;0;-53.172909;-70.922707
1028846; ; ;1;1;0;-53.16362;-70.916733
1031588; ; ;-1;0;0;-54.932682;-67.617889
1186803; ; ;1;1;0;-53.169975;-70.930557
1312574; ; ;9;1;0;-53.168617;-70.929909
1347066; ; ;0;0;1;-51.731838;-72.495842
1410278; ; ;9;0;0;-53.129322;-70.912369
1413259; ; ;-1;0;1;-53.164173;-70.916893
1418454;427; ;0;0;1;-53.161663;-70.946114
1513104; ; ;-1;1;0;-53.163521;-70.917709
1521460; ; ;0;1;0;-53.137817;-70.893684
1525926; ; ;-1;0;1;-53.132751;-70.925941
1587717; ; ;-1;1;1;-53.296375;-70.36689
1608000; ; ;1;1;1;-53.163597;-70.916985
1617944; ; ;9;1;1;-53.130535;-70.873215
1684272; ; ;-1;0;0;-53.295586;-70.362526
1861475; ; ;0;0;0;-53.295567;-70.366516
1924766; ; ;0;0;0;-53.163376;-70.917793
1968504;402;402;1;0;0;-53.168785;-70.945923
2049838; ; ;9;1;1;-53.170128;-70.92897
2109897; ; ;0;0;1;-51.724045;-72.49939
2114855; ; ;9;1;0;-53.160534;-70.908302
2191139; ; ;-1;1;1;-53.144463;-70.923775
2241811; ; ;-1;1;0;-51.727329;-72.50235
2282950; ; ;-1;0;0;-53.172047;-70.920532
2372558; ; ;-1;1;0;-53.163509;-70.918015
2420878; ; ;0;1;0;-53.163845;-70.927376
2450720; ; ;1;0;0;-53.156872;-70.901405
2539352; ; ;-1;1;0;-53.156212;-70.936646
2571211; ; ;0;0;1;-51.735657;-72.484238
2574781; ; ;-1;0;0;-53.124489;-70.881264
2727596; ; ;-1;1;0;-53.176807;-70.943092
2756112; ; ;9;1;1;-51.740479;-72.481705
2777521; ; ;9;1;0;-53.163437;-70.917656
2795224; ; ;1;0;1;-51.730858;-72.486481
2822909; ; ;-1;1;0;-53.17511;-70.930824
2859980; ; ;9;1;0;-53.164677;-70.917213
2861957; ; ;0;1;0;-51.739037;-72.491806
2887283; ; ;0;0;1;-53.164608;-70.916733
2955933; ; ;7;1;0;-53.164425;-70.917603
3013561; ; ;-1;1;0;-53.296665;-70.367905
3062879; ; ;0;1;0;-53.158092;-70.938774
3084746; ; ;7;0;0;-53.161079;-70.930763
3093362; ; ;0;1;1;-53.168674;-70.931053
3098307; ; ;0;1;0;-53.163765;-70.916046
3205664; ; ;9;0;1;-53.1661;-70.921097
3222336; ; ;9;0;1;-51.738369;-72.485374
3314614; ; ;0;1;0;-53.296459;-70.366516
3370595; ; ;0;1;0;-53.164375;-70.917473
3490186;420; ;0;0;0;-53.163715;-70.915932
3639881; ; ;-1;0;0;-53.163269;-70.917915
3643838; ; ;-1;0;1;-53.133842;-70.927025
3792556; ; ;1;1;0;-53.171978;-70.919563
3808447; ; ;7;0;0;-53.14267;-70.92318
3832616; ; ;1;1;1;-53.146275;-70.884621
3842431;418; ;1;0;0;-54.933773;-67.618088
3977851;410; ;-1;0;0;-51.725372;-72.510178
4034429; ; ;-1;1;1;-53.164494;-70.917427
4084505; ; ;-1;0;0;-53.177677;-70.938271
4127677; ; ;9;0;0;-53.163593;-70.916817
4157281; ; ;-1;0;0;-53.216488;-70.933121
4220774; ; ;-1;0;1;-51.731323;-72.511421
4223585; ; ;1;1;0;-53.13456;-70.888306
4250840; ; ;-1;1;0;-53.163044;-70.916664
4272547; ; ;1;0;1;-51.732025;-72.49733
4321662; ; ;9;0;1;-53.173424;-70.926506
4322141; ; ;-1;1;0;-53.163773;-70.917465
4341885; ; ;-1;0;0;-53.163376;-70.941856
4427842; ; ;9;0;0;-53.163025;-70.918053
4440075; ; ;9;1;1;-53.153027;-70.941391
4473014; ; ;1;0;0;-51.723362;-72.490135
4566437; ; ;-1;0;1;-51.733646;-72.515266
4669519; ; ;-1;1;1;-53.159622;-70.903885
4718069; ; ;9;0;0;-53.141102;-70.925949
4755393; ; ;9;1;1;-53.161575;-70.92852
4953153; ; ;-1;1;0;-51.736454;-72.497536
5061115; ; ;1;1;0;-53.172619;-70.925201
5064227; ; ;9;1;0;-53.125614;-70.928589
5148635; ; ;-1;0;1;-53.148872;-70.901672
5258216; ; ;1;0;0;-53.133461;-70.922775
5317560; ; ;9;1;1;-51.733883;-72.517212
5325720; ; ;-1;0;1;-53.164211;-70.917236
5330673; ; ;0;1;0;-53.160179;-70.899055
5352829; ; ;0;0;1;-51.74073;-72.485252
5459777; ; ;1;0;0;-53.173489;-70.937256
5518176; ; ;1;1;0;-51.73912;-72.482582
5552216; ; ;-1;1;0;-53.146866;-70.910141
5714883; ; ;1;0;1;-53.158466;-70.890701
5816247; ; ;7;0;0;-53.163395;-70.915672
5937699; ; ;1;1;0;-53.14436;-70.921761
6020217; ; ;0;1;0;-53.182335;-70.936432
6054371; ; ;-1;1;0;-51.728661;-72.500244
6242149;422; ;1;1;0;-53.164089;-70.917198
6254338; ; ;-1;1;1;-54.934006;-67.616776
6266789;408;408;9;1;1;-53.163723;-70.917099
