mrun;rbd;nivel;cod_ense;cod_grado;preferencia_postulante;agregada_por_continuidad;tipo_prioridad;loteria_original;loteria_ordenada
63984;8434;1;110;1;3;0;7;13;13
63984;8448;1;110;1;4;0;7;1;1
63984;11687;1;110;1;1;0;7;3;4
63984;24302;1;110;1;2;0;7;2;3
63984;24311;1;110;1;5;0;7;7;7
206823;8411;9;310;1;2;0;7;2;3
206823;24300;9;310;1;1;0;7;6;6
390115;8434;0;10;5;2;0;7;2;6
390115;8435;0;10;5;3;0;7;2;2
390115;8439;0;10;5;1;0;7;9;9
462049;8434;1;110;1;3;0;7;16;16
462049;8436;1;110;1;2;0;7;10;10
462049;8444;1;110;1;1;0;7;23;24
513098;8415;1;110;1;2;0;7;2;3
513098;8422;1;110;1;1;0;2;2;1
573647;8434;1;110;1;4;0;7;18;18
573647;8438;1;110;1;5;0;7;13;13
573647;8441;1;110;1;3;0;7;2;2
573647;11678;1;110;1;1;0;7;4;8
573647;24319;1;110;1;2;0;7;8;10
685648;8425;9;310;1;2;0;7;29;29
685648;8429;9;310;1;1;0;7;56;56
685648;24316;9;310;1;3;0;7;19;19
900740;8411;9;310;1;2;0;7;3;4
900740;24300;9;310;1;1;0;7;4;5
1021914;8433;1;110;1;3;0;7;10;10
1021914;8434;1;110;1;1;0;7;5;9
1021914;8436;1;110;1;4;0;7;11;11
1021914;24302;1;110;1;2;0;7;11;11
1028846;8434;1;110;1;2;0;7;15;15
1028846;8436;1;110;1;1;0;7;6;6
1031588;8438;-1;10;4;2;0;7;2;3
1031588;8483;-1;10;4;1;0;2;4;2
1186803;11678;1;110;1;1;0;7;3;7
1186803;24319;1;110;1;2;0;7;15;15
1312574;8425;9;310;1;3;0;7;34;34
1312574;8429;9;310;1;1;0;7;27;27
1312574;24316;9;310;1;2;0;7;17;17
1347066;8413;0;10;5;2;0;7;8;8
1347066;8421;0;10;5;1;0;2;5;1
1410278;8429;9;310;1;2;0;7;57;57
1410278;24329;9;310;1;1;0;7;10;10
1413259;8435;-1;10;4;2;0;7;7;7
1413259;24302;-1;10;4;1;0;7;5;6
1418454;8433;0;10;5;3;1;1; ;1
1418454;8439;0;10;5;2;0;7;15;15
1418454;8444;0;10;5;1;0;2;14;1
1513104;8433;-1;10;4;7;0;7;13;15
1513104;8434;-1;10;4;2;0;7;15;15
1513104;8435;-1;10;4;6;0;7;5;5
1513104;8436;-1;10;4;5;0;7;3;4
1513104;8437;-1;10;4;3;0;7;6;7
1513104;8439;-1;10;4;1;0;7;4;4
1513104;8442;-1;10;4;4;0;7;12;12
1513104;11687;-1;10;4;8;0;7;4;4
1513104;24302;-1;10;4;9;0;7;3;4
1513104;24313;-1;10;4;10;0;7;12;12
1521460;8439;0;10;5;2;0;7;13;13
1521460;8442;0;10;5;1;0;7;18;18
1521460;8444;0;10;5;3;0;7;3;6
1525926;8433;-1;10;4;4;0;7;16;18
1525926;8434;-1;10;4;6;0;7;18;18
1525926;8436;-1;10;4;7;0;7;13;13
1525926;8437;-1;10;4;1;0;7;5;6
1525926;8438;-1;10;4;9;0;7;16;16
1525926;8439;-1;10;4;3;0;7;6;6
1525926;8441;-1;10;4;8;0;7;15;15
1525926;8448;-1;10;4;5;0;4;3;1
1525926;11687;-1;10;4;2;0;4;3;2
1525926;24302;-1;10;4;10;0;7;8;9
1587717;8475;-1;10;4;2;0;7;2;5
1587717;16895;-1;10;4;1;0;4;2;2
1608000;8434;1;110;1;1;0;7;12;12
1608000;8438;1;110;1;4;0;7;15;15
1608000;8441;1;110;1;3;0;7;1;1
1608000;24302;1;110;1;2;0;7;4;5
1617944;8425;9;310;1;2;0;7;17;18
1617944;8429;9;310;1;1;0;7;16;16
1684272;8433;-1;10;4;1;0;2;2;3
1684272;8436;-1;10;4;2;0;7;10;10
1861475;8475;0;10;5;1;0;7;1;1
1861475;16895;0;10;5;2;0;7;3;5
1924766;8454;0;10;5;1;0;7;10;12
1924766;16895;0;10;5;4;1;1; ;1
1924766;24302;0;10;5;3;0;7;11;11
1924766;24313;0;10;5;2;0;7;3;7
1968504;8434;1;110;1;1;0;1;6;1
1968504;8444;1;110;1;2;0;7;2;3
2049838;8425;9;310;1;2;0;7;46;46
2049838;8429;9;310;1;1;0;7;48;48
2109897;8413;0;10;5;2;0;7;9;9
2109897;8417;0;10;5;3;0;7;1;1
2109897;8421;0;10;5;1;0;7;2;4
2114855;8429;9;310;1;1;0;7;5;5
2114855;8430;9;310;1;2;0;7;27;27
2114855;24316;9;310;1;3;0;7;30;30
2191139;8442;-1;10;4;2;0;4;7;2
2191139;11678;-1;10;4;1;0;4;9;6
2241811;8412;-1;10;4;2;0;7;15;15
2241811;8421;-1;10;4;1;0;7;5;5
2282950;8448;-1;10;4;2;0;7;5;5
2282950;11678;-1;10;4;1;0;2;16;2
2372558;8448;-1;10;4;1;0;7;1;2
2372558;11678;-1;10;4;2;0;7;21;21
2420878;8433;0;10;5;4;0;7;14;15
2420878;8436;0;10;5;3;0;7;14;16
2420878;8437;0;10;5;5;0;7;7;8
2420878;8442;0;10;5;2;0;7;2;2
2420878;24313;0;10;5;1;0;7;8;11
2450720;8470;1;110;1;1;0;7;1;1
2539352;8433;-1;10;4;2;0;7;14;16
2539352;8441;-1;10;4;1;0;7;9;9
2571211;8413;0;10;5;2;0;7;7;7
2571211;8415;0;10;5;3;0;7;3;3
2571211;8421;0;10;5;1;0;7;7;8
2574781;8454;-1;10;4;3;0;7;1;4
2574781;24313;-1;10;4;1;0;7;15;15
2574781;24329;-1;10;4;2;0;7;11;13
2727596;8439;-1;10;4;2;0;7;2;2
2727596;24313;-1;10;4;1;0;2;8;1
2756112;8411;9;310;1;2;0;7;5;6
2756112;24300;9;310;1;1;0;7;1;2
2777521;8429;9;310;1;1;0;7;25;25
2777521;8430;9;310;1;2;0;7;21;21
2795224;8413;1;110;1;2;0;7;2;4
2795224;8415;1;110;1;1;0;7;1;2
2822909;8434;-1;10;4;1;0;7;3;5
2822909;24302;-1;10;4;2;0;7;4;5
2859980;8429;9;310;1;1;0;7;29;29
2859980;8430;9;310;1;3;0;7;14;14
2859980;24316;9;310;1;2;0;7;41;41
2861957;8413;0;10;5;2;0;7;10;10
2861957;8421;0;10;5;1;0;7;9;9
2887283;8435;0;10;5;1;0;7;8;8
2887283;8439;0;10;5;2;0;7;7;7
2887283;24313;0;10;5;3;0;4;5;1
2955933;8424;7;110;7;1;0;5;1;1
2955933;8429;7;110;7;2;0;7;3;4
3013561;8475;-1;10;4;1;0;5;6;3
3013561;16895;-1;10;4;2;0;7;6;8
3062879;8434;0;10;5;2;0;7;6;9
3062879;8436;0;10;5;3;0;7;2;4
3062879;24302;0;10;5;1;0;7;3;3
3084746;8454;7;110;7;1;0;7;2;2
3084746;8458;7;110;7;2;0;1;1;1
3093362;8433;0;10;5;1;0;7;8;9
3093362;8436;0;10;5;3;1;1; ;2
3093362;24302;0;10;5;2;0;7;6;6
3098307;8433;0;10;5;1;0;7;11;12
3098307;8435;0;10;5;2;0;7;7;7
3098307;8448;0;10;5;3;0;7;1;2
3205664;8425;9;310;1;3;0;7;44;44
3205664;8427;9;310;1;1;0;7;15;15
3205664;24316;9;310;1;2;0;7;6;6
3222336;8411;9;310;1;1;0;7;9;9
3222336;24300;9;310;1;2;0;7;2;3
3314614;8475;0;10;5;1;0;7;4;4
3314614;16895;0;10;5;2;0;7;5;6
3370595;8444;0;10;5;2;0;7;9;11
3370595;11678;0;10;5;1;0;7;8;11
3490186;8439;0;10;5;3;0;7;3;3
3490186;8454;0;10;5;1;0;7;1;6
3490186;24302;0;10;5;2;0;7;1;1
3639881;8454;-1;10;4;2;0;7;6;9
3639881;24329;-1;10;4;1;0;7;9;11
3643838;8433;-1;10;4;1;0;4;5;6
3643838;8436;-1;10;4;4;0;7;18;18
3643838;8438;-1;10;4;3;0;7;17;17
3643838;8441;-1;10;4;2;0;7;14;14
3792556;24311;1;110;1;1;0;7;3;3
3792556;24319;1;110;1;2;0;7;6;8
3808447;8424;7;110;7;2;0;7;6;6
3808447;8433;7;110;7;3;1;1; ;1
3808447;8454;7;110;7;1;0;7;7;7
3832616;8434;1;110;1;3;0;7;3;7
3832616;8435;1;110;1;2;0;7;4;4
3832616;8438;1;110;1;4;0;7;8;8
3832616;8444;1;110;1;5;0;7;16;17
3832616;24311;1;110;1;1;0;7;5;5
3842431;8483;1;110;1;1;0;7;4;4
3842431;8484;1;110;1;2;0;7;2;2
3977851;8412;-1;10;4;2;0;7;13;14
3977851;8417;-1;10;4;1;0;7;1;1
4034429;8438;-1;10;4;1;0;4;1;2
4034429;8439;-1;10;4;2;0;7;17;17
4084505;8433;-1;10;4;1;0;7;17;19
4084505;24311;-1;10;4;2;0;7;11;12
4127677;8425;9;310;1;2;0;7;32;32
4127677;8427;9;310;1;3;0;7;12;12
4127677;24316;9;310;1;1;0;7;12;12
4157281;8454;-1;10;4;1;0;5;10;3
4157281;24311;-1;10;4;3;0;7;17;18
4157281;24329;-1;10;4;2;0;7;10;12
4220774;8412;-1;10;4;1;0;7;12;13
4220774;8413;-1;10;4;2;0;7;15;15
4223585;8438;1;110;1;1;0;7;7;7
4223585;8439;1;110;1;2;0;7;7;9
4250840;8433;-1;10;4;3;1;1; ;2
4250840;11678;-1;10;4;1;0;7;15;16
4250840;24311;-1;10;4;2;0;7;7;8
4272547;8413;1;110;1;2;0;7;10;10
4272547;8415;1;110;1;1;0;7;6;7
4321662;8425;9;310;1;1;0;7;14;15
4321662;8430;9;310;1;2;0;7;30;30
4322141;8434;-1;10;4;2;0;7;2;4
4322141;8438;-1;10;4;1;0;7;11;12
4322141;8439;-1;10;4;3;0;7;8;8
