mrun;nivel;rbd_admitido;cod_ense_admitido;cod_grado_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_ense_admitido_post_resp;cod_grado_admitido_post_resp
5283;-1;8457;10;4;5;8457;10;4
12406;-1;8422;10;4;5;8422;10;4
18586;-1;24305;10;4;5;24305;10;4
44981;9;8411;310;1;5;8411;310;1
57159;0;8439;10;5;5;8439;10;5
58727;9;8427;310;1;5;8427;310;1
68038;-1;8422;10;4;5;8422;10;4
88661;-1;8442;10;4;3;8442;10;4
104064;1;8441;110;1;7; ; ; 
104614;0;8421;10;5;5;8421;10;5
107415;0;8458;10;5;5;8458;10;5
113213;0;11678;10;5;4; ; ; 
125447;-1;8458;10;4;5;8458;10;4
126238;-1;11687;10;4;4; ; ; 
142772;9;8424;310;1;3;8424;310;1
149440;-1;24317;10;4;5;24317;10;4
161320;-1;11678;10;4;4; ; ; 
162650;9;8427;310;1;5;8427;310;1
167709;0;8442;10;5;7; ; ; 
172515;-1;16895;10;4;3;16895;10;4
201194;7;8454;110;7;5;8454;110;7
201891;9;24300;310;1;4; ; ; 
222230;-1;8450;10;4;3;8450;10;4
226397;9;24316;310;1;5;24316;310;1
232780;0;8454;10;5;3;8454;10;5
264726;0;8458;10;5;5;8458;10;5
279322;0;24305;10;5;5;24305;10;5
284555;-1;24313;10;4;5;24313;10;4
291892;9;8429;310;1;4; ; ; 
307440;-1;8421;10;4;3;8421;10;4
331447;9;24319;310;1;5;24319;310;1
353847;7;8448;110;7;6;24338;110;7
359194;-1;24305;10;4;7;24318;10;4
379056;-1;8435;10;4;5;8435;10;4
379139;7;8454;110;7;5;8454;110;7
390115;0;8436;10;5;7; ; ; 
399210;7;11678;110;7;5;11678;110;7
420921;7;8429;110;7;3;8429;110;7
422370;9;8424;310;1;3;8424;310;1
443134;-1;8457;10;4;5;8457;10;4
444757;-1;24313;10;4;5;24313;10;4
451226;-1;8412;10;4;5;8412;10;4
452098;-1;8439;10;4;7;24305;10;4
457907;9;8411;310;1;3;8411;310;1
462049;1;24327;110;1;4; ; ; 
463089;-1;24329;10;4;3;24329;10;4
464891;0;8455;10;5;5;8455;10;5
468826;-1;8412;10;4;5;8412;10;4
499192;9;8424;310;1;5;8424;310;1
500774;0;11687;10;5;3;11687;10;5
524187;1;8439;110;1;3;8439;110;1
526488;-1;8483;10;4;5;8483;10;4
565108;-1;24329;10;4;5;24329;10;4
569340;0;8437;10;5;7;11678;10;5
573647;1;8438;110;1;4; ; ; 
576951;9;24327;310;1;5;24327;310;1
577844;1;8458;110;1;5;8458;110;1
581418;9;8425;310;1;5;8425;310;1
596350;-1;8442;10;4;5;8442;10;4
606372;-1;8413;10;4;5;8413;10;4
615503;-1;24307;10;4;5;24307;10;4
635479;0;8444;10;5;5;8444;10;5
636466;-1;24318;10;4;5;24318;10;4
644193;0;8436;10;5;5;8436;10;5
651822;9;8429;310;1;6;8429;310;1
658517;-1;24318;10;4;3;24318;10;4
667398;-1;8449;10;4;5;8449;10;4
672754;-1;8442;10;4;3;8442;10;4
673405;-1;8441;10;4;5;8441;10;4
680210;9;24329;310;1;5;24329;310;1
681559;-1;11687;10;4;3;11687;10;4
685648;9;8430;310;1;7; ; ; 
693547;-1;8441;10;4;5;8441;10;4
693593;-1;24338;10;4;5;24338;10;4
700194;7;8424;110;7;5;8424;110;7
701460;9;8424;310;1;5;8424;310;1
710788;-1;8417;10;4;5;8417;10;4
715445;9;24316;310;1;5;24316;310;1
729270;-1;24307;10;4;5;24307;10;4
733805;-1;8433;10;4;3;8433;10;4
735075;9;24300;310;1;5;24300;310;1
735981;-1;8412;10;4;5;8412;10;4
740769;1;8413;110;1;5;8413;110;1
758028;0;8454;10;5;5;8454;10;5
768654;0;8442;10;5;6;11678;10;5
771925;9;24300;310;1;5;24300;310;1
790826;0;8444;10;5;3;8444;10;5
807521;9;8474;310;1;5;8474;310;1
815005;1;24329;110;1;5;24329;110;1
822731;0;8439;10;5;5;8439;10;5
823920;-1;24329;10;4;5;24329;10;4
827484;9;8425;310;1;5;8425;310;1
833209;1;8454;110;1;5;8454;110;1
833458;-1;8421;10;4;5;8421;10;4
835909;-1;8435;10;4;4; ; ; 
842863;9;8427;310;1;3;8427;310;1
854184;0;8439;10;5;7; ; ; 
856570;9;24300;310;1;5;24300;310;1
859087;-1;24318;10;4;5;24318;10;4
