mrun;rbd_admitido_geo_con_error;orden_postulantes
63984;11687;305
206823;24300;189
390115;8439;135
462049;8444;276
513098;8422;220
573647;8441;27
685648;8429;428
900740;24300;399
1021914;8434;106
1028846;8436;383
1031588;8483;239
1186803;11678;328
1312574;8429;4
1347066;8421;244
1410278;24329;223
1413259;24302;63
1418454;8444;330
1513104;8439;176
1521460;8442;163
1525926;8437;30
1587717;16895;365
1608000;8434;146
1617944;8429;140
1684272;8433;354
1861475;8475;236
1924766;24302;334
1968504;8434;215
2049838;8429;364
2109897;8421;308
2114855;8429;161
2191139;11678;58
2241811;8421;2
2282950;11678;143
2372558;8448;304
2420878;8442;211
2450720;8470;85
2539352;8441;312
2571211;8421;316
2574781;8442;49
2727596;24313;212
2756112;24300;126
2777521;8429;153
2795224;8415;59
2822909;8434;230
2859980;8429;397
2861957;8421;271
2887283;8435;134
2955933;8424;201
3013561;8475;41
3062879;24302;386
3084746;8454;149
3093362;8433;191
3098307;8433;42
3205664;8427;341
3222336;8411;245
3314614;8475;38
3370595;8444;273
3490186;8454;139
3639881;8433;51
3643838;8433;314
3792556;24319;210
3808447;8454;432
3832616;8435;84
3842431;8483;171
3977851;8417;247
4034429;8438;169
4084505;8433;16
4127677;24316;356
4157281;8448;403
4220774;8413;268
4223585;8438;70
4250840;11678;86
4272547;8413;348
4321662;8425;74
4322141;8438;289
4341885;8438;62
4427842;8427;113
4440075;8425;226
4473014;8415;120
4566437;8413;89
4669519;24311;138
4718069;24316;166
4755393;8425;99
4953153;8413;122
5061115;8434;351
5064227;8430;132
5148635;24329;39
5258216;8444;279
5317560;24300;198
5325720;24313;260
5330673;8439;429
5352829;8415;125
5459777;8438;295
5518176;8422;292
5552216;8442;96
5714883;8438;409
5816247;8444;102
5937699;8444;23
6020217;24302;142
6054371;8421;36
6242149;8444;75
6254338;8483;426
6266789;8429;338
6342858;8429;73
6356766;8425;50
6474679;8442;205
6490384;8454;415
6681721;8412;401
6714419;8437;264
6904898;8429;378
6943128;11687;66
7033060;8429;195
7047513;8444;6
7093307;11678;277
7101540;24329;411
7155335;8474;243
7184207;8483;118
7194299;8413;416
7258747;8424;109
7284778;11678;105
7348441;8439;249
7427919;8433;137
7511317;8433;21
7688453;24329;71
7742534;8437;20
7834770;8433;178
7846898;8421;192
7939876;8444;197
7955555;8413;317
7966692;24313;61
8010793;8417;288
8017554;8439;377
8023726;8448;388
8280832;8441;9
8437751;8430;221
8483830;11678;257
8491245;24329;311
8542944;8430;160
8583721;8430;336
8595812;24313;145
8662699;8444;172
8673223;8442;77
8839576;8438;194
8851988;24329;315
8859762;8413;111
8876870;8427;175
8921606;8413;208
8924283;24302;72
8936621;8429;259
8975831;24316;190
9000256;24334;155
9174252;8413;17
9200569;8433;425
9230789;11687;325
9343503;8439;406
9431605;8433;396
9493571;8425;307
9551904;11678;362
9626175;16895;300
9661803;8438;382
9663360;24334;408
9697111;8435;253
9699513;8444;404
9732016;24313;240
9745519;24316;141
9820338;8444;82
9884299;8413;363
9897985;24334;267
9909401;8442;47
9990456;8412;371
9993997;24311;48
10041415;8483;419
10126935;8435;207
10245990;24316;164
10419059;8436;187
10456946;8429;54
10481742;8417;282
10487759;24313;319
10608727;8483;183
10619931;8458;173
10684374;24329;128
10833871;24319;294
10856595;8413;380
11213563;8429;217
11216250;8429;358
11271908;8439;405
11273870;8429;22
11351654;8425;423
11395551;8435;355
11521277;24316;15
11521280;24316;433
11672142;8441;329
11704972;8444;28
11712943;24316;185
11720950;8483;346
11749402;8429;278
11864337;8434;342
11912405;8421;45
11929243;8433;83
11956513;8429;374
11990505;8483;97
12088278;8429;320
12147909;8454;199
12149459;8433;265
12191806;8442;150
12220377;8417;174
12255595;8411;258
12345658;8454;284
12427515;24334;144
12461907;8439;361
12518232;11678;10
12588259;8442;421
12629179;24329;158
12632287;8434;349
12644886;8413;299
12682540;8483;424
12816824;24329;31
12827621;24329;256
12892982;24319;127
12909983;8442;233
12917978;24319;69
12935351;8413;274
13024572;24316;347
13198494;8429;188
13208859;8435;398
13272844;16895;280
13284562;8442;395
13356847;8433;420
13415880;8441;123
13570346;8438;11
13630575;8454;333
13700298;24300;252
13744185;8415;136
13775877;24316;373
13965786;8434;80
13968683;24329;417
13970017;8444;275
14062641;8437;110
14082656;8483;196
14161506;24302;242
14184005;8415;322
14239521;8429;179
14254208;24302;290
14305533;11678;272
14323554;8449;193
14425350;8424;331
14614442;24319;52
14614446;8429;372
14644904;8413;232
14818709;8475;184
14875412;8424;337
14911382;24300;375
14915479;24329;219
15016049;8442;213
15226157;8454;410
15250505;8454;303
15278468;8436;379
15612363;8412;327
15675938;24334;237
15719821;8475;121
15785342;8411;55
15902739;8434;14
15935111;8438;228
15942913;11678;345
15969017;16895;104
16324570;8429;269
16360148;8444;261
16372819;8429;302
16471607;8421;339
16533104;8430;182
16577240;8433;44
16613798;8441;407
16635619;8433;157
16650118;8429;225
16690463;8454;180
16690511;8433;353
16729387;8413;286
16765862;24316;152
16771359;8441;78
16771455;8454;65
16771738;24302;206
16807686;8429;368
16858954;8425;101
16887867;8425;309
16914541;8435;387
16959901;8436;131
17089395;8439;381
17161964;8436;133
17332355;24311;53
17399393;8436;394
17421177;8434;46
17444076;8429;389
17447684;8430;296
17495062;24300;255
17502748;8429;400
17504739;24316;167
17512342;8454;204
17525494;8433;266
17627534;8454;402
17634271;24329;335
17640596;8444;431
17658768;8413;64
17674684;8442;79
17873188;8442;287
17873679;8435;32
17935016;8439;392
18064070;8436;170
18083916;24313;202
18109389;8433;181
18138214;8436;281
18193066;24302;301
18208385;8429;227
18292870;8438;67
18378305;24302;116
18437369;8442;37
18440092;8454;248
