rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_regular;vacantes_prioritarios;software_aleatorio;habilitado_distancia
97;9;13100033;310;1;3;0;0;0;0;-20,219835;-70,153236;173;99;99;0;1;1
103;1;11100033;110;1;3;0;0;0;0;-20,221096;-70,138168;35;0;0;0;1;0
103;7;71100033;110;7;3;0;0;0;0;-20,221096;-70,138168;70;8;8;0;1;0
103;9;13100033;310;1;3;0;0;0;0;-20,221096;-70,138168;35;0;0;0;1;0
106;7;71100033;110;7;3;0;0;0;0;-20,293949;-70,127777;36;30;28;2;1;0
106;9;13100033;310;1;3;0;0;0;0;-20,293949;-70,127777;108;59;59;0;1;0
107;9;13100033;310;1;3;0;0;0;0;-20,219744;-70,15239;175;109;109;0;1;0
108;9;13100033;310;1;3;0;0;0;0;-20,225796;-70,148727;210;79;79;0;1;0
109;9;13100033;310;1;3;0;0;0;0;-20,216951;-70,153381;70;26;26;0;1;0
110;-1;40100031;10;4;1;0;0;0;0;-20,217588;-70,146912;70;1;1;0;1;1
110;0;50100031;10;5;1;0;0;0;0;-20,217588;-70,146912;70;0;0;0;1;1
110;1;11100031;110;1;1;0;0;0;0;-20,217588;-70,146912;70;0;0;0;1;1
110;7;71100031;110;7;1;0;0;0;0;-20,217588;-70,146912;70;3;3;0;1;1
110;9;13100033;310;1;3;0;0;0;0;-20,217588;-70,146912;70;0;0;0;1;1
111;-1;40100033;10;4;3;0;0;0;0;-20,225891;-70,141411;70;8;8;0;1;1
111;0;50100033;10;5;3;0;0;0;0;-20,225891;-70,141411;70;9;9;0;1;1
111;1;11100033;110;1;3;0;0;0;0;-20,225891;-70,141411;70;6;6;0;1;1
111;7;71100033;110;7;3;0;0;0;0;-20,225891;-70,141411;70;14;14;0;1;1
112;-1;40100031;10;4;1;0;0;0;0;-20,214476;-70,135857;36;16;16;0;1;1
112;0;50100031;10;5;1;0;0;0;0;-20,214476;-70,135857;36;0;0;0;1;1
112;0;50100032;10;5;2;0;0;0;0;-20,214476;-70,135857;36;32;29;3;1;1
112;1;11100032;110;1;2;0;0;0;0;-20,214476;-70,135857;70;6;6;0;1;1
112;7;71100031;110;7;1;0;0;0;0;-20,214476;-70,135857;70;15;15;0;1;1
113;-1;40100031;10;4;1;0;0;0;0;-20,232044;-70,137695;80;50;50;0;1;0
113;0;50100031;10;5;1;0;0;0;0;-20,232044;-70,137695;90;43;43;0;1;0
113;1;11100031;110;1;1;0;0;0;0;-20,232044;-70,137695;120;49;49;0;1;0
113;7;71100031;110;7;1;0;0;0;0;-20,232044;-70,137695;105;6;6;0;1;0
114;-1;40100031;10;4;1;0;0;0;0;-20,220236;-70,144112;35;26;24;2;1;0
114;0;50100031;10;5;1;0;0;0;0;-20,220236;-70,144112;35;3;3;0;1;0
114;1;11100033;110;1;3;0;0;0;0;-20,220236;-70,144112;70;36;36;0;1;0
114;7;71100033;110;7;3;0;0;0;0;-20,220236;-70,144112;70;15;15;0;1;0
116;-1;40100031;10;4;1;0;0;0;0;-20,22728;-70,13485;70;40;40;0;2;0
116;0;50100031;10;5;1;0;0;0;0;-20,22728;-70,13485;70;7;7;0;2;0
116;1;11100031;110;1;1;0;0;0;0;-20,22728;-70,13485;70;0;0;0;2;0
116;7;71100031;110;7;1;0;0;0;0;-20,22728;-70,13485;70;13;13;0;2;0
117;-1;40100031;10;4;1;0;0;0;0;-20,220398;-70,146248;30;24;21;3;1;0
117;-1;40100033;10;4;3;0;0;0;0;-20,220398;-70,146248;30;0;0;0;1;0
117;0;50100031;10;5;1;0;0;0;0;-20,220398;-70,146248;30;23;23;0;1;0
117;0;50100033;10;5;3;0;0;0;0;-20,220398;-70,146248;30;0;0;0;1;0
117;1;11100031;110;1;1;0;0;0;0;-20,220398;-70,146248;30;28;24;4;1;0
117;1;11100033;110;1;3;0;0;0;0;-20,220398;-70,146248;35;0;0;0;1;0
117;7;71100031;110;7;1;0;0;0;0;-20,220398;-70,146248;35;33;28;5;1;0
117;7;71100033;110;7;3;0;0;0;0;-20,220398;-70,146248;35;3;3;0;1;0
119;-1;40100033;10;4;3;0;0;0;0;-20,213514;-70,145119;35;10;10;0;1;1
119;0;50100033;10;5;3;0;0;0;0;-20,213514;-70,145119;35;1;1;0;1;1
119;1;11100033;110;1;3;0;0;0;0;-20,213514;-70,145119;70;3;3;0;1;1
119;7;71100033;110;7;3;0;0;0;0;-20,213514;-70,145119;35;0;0;0;1;1
122;-1;40100033;10;4;3;0;0;0;0;-20,236214;-70,141014;40;13;13;0;1;0
122;0;50100033;10;5;3;0;0;0;0;-20,236214;-70,141014;40;3;3;0;1;0
122;1;11100033;110;1;3;0;0;0;0;-20,236214;-70,141014;40;5;5;0;1;0
122;7;71100033;110;7;3;0;0;0;0;-20,236214;-70,141014;40;7;7;0;1;0
123;-1;40100031;10;4;1;0;0;0;0;-20,239721;-70,128853;35;10;10;0;2;0
123;0;50100031;10;5;1;0;0;0;0;-20,239721;-70,128853;70;35;35;0;2;0
123;1;11100031;110;1;1;0;0;0;0;-20,239721;-70,128853;70;32;32;0;2;0
123;7;71100031;110;7;1;0;0;0;0;-20,239721;-70,128853;35;5;5;0;2;0
124;9;13100033;310;1;3;0;0;0;0;-20,241995;-70,137436;257;0;0;0;1;0
125;-1;40100033;10;4;3;0;0;0;0;-20,245417;-70,138123;70;2;2;0;1;0
125;0;50100033;10;5;3;0;0;0;0;-20,245417;-70,138123;70;3;3;0;1;0
125;1;11100033;110;1;3;0;0;0;0;-20,245417;-70,138123;105;11;11;0;1;0
125;7;71100033;110;7;3;0;0;0;0;-20,245417;-70,138123;105;11;11;0;1;0
125;9;13100031;310;1;1;0;0;0;0;-20,245417;-70,138123;70;0;0;0;1;0
126;-1;40100033;10;4;3;0;0;0;0;-20,243599;-70,131493;60;3;3;0;1;0
126;0;50100033;10;5;3;0;0;0;0;-20,243599;-70,131493;60;6;6;0;1;0
126;1;11100033;110;1;3;0;0;0;0;-20,243599;-70,131493;105;42;42;0;1;0
126;7;71100033;110;7;3;0;0;0;0;-20,243599;-70,131493;70;18;18;0;1;0
127;1;11100011;110;1;1;0;1;0;1;-20,222324;-70,148384;82;1;1;0;1;0
127;7;71100011;110;7;1;0;1;0;1;-20,222324;-70,148384;82;0;0;0;1;0
127;9;13100011;310;1;1;0;1;0;1;-20,222324;-70,148384;84;1;1;0;1;0
129;-1;40100032;10;4;2;0;0;0;0;-20,221087;-70,151436;45;42;36;6;1;0
129;0;50100032;10;5;2;0;0;0;0;-20,221087;-70,151436;45;40;35;5;1;0
