mrun;cod_nivel;es_mujer;prioritario;lat_con_error;lon_con_error;calidad_georef;cod_com;nom_com
270;-1;0;0;-20,217398;-70,143433;1;1101;IQUIQUE
983;9;1;0;-34,170376;-70,740807;2;6101;RANCAGUA
2952;9;0;1;-43,118206;-73,61805;2;10208;QUELLON
6026;-1;1;0;-29,902227;-71,2509;2;4101;LA SERENA
18840;5;0;1;-53,166973;-70,948669;1;12101;PUNTA ARENAS
21688;1;0;1;-29,902227;-71,2509;2;4101;LA SERENA
28851;-1;0;0;-34,208759;-70,817383;2;6111;OLIVAR
29379;9;1;0;-34,226551;-70,964355;2;6105;DOÑIHUE
29380;9;1;1;-30,833839;-71,258026;2;4304;PUNITAQUI
30530;-1;0;1;-29,902227;-71,2509;2;4101;LA SERENA
30555;9;0;0;-30,604809;-71,205421;2;4301;OVALLE
32450;1;1;1;-41,623501;-73,595055;2;10108;MAULLIN
36399;-1;1;0;-29,870474;-71,229935;1;4101;LA SERENA
38156;-1;0;0;-54,934601;-67,596947;2;12201;CABO DE HORNOS
42008;1;1;0;-29,902227;-71,2509;2;4101;LA SERENA
43552;0;1;0;-29,996037;-71,324791;1;4102;COQUIMBO
47213;1;1;1;-41,481083;-73,000572;1;10101;PUERTO MONTT
47701;1;0;0;-34,70842;-71,041237;2;6303;CHIMBARONGO
49891;2;1;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
52487;0;0;1;-30,604809;-71,205421;2;4301;OVALLE
53362;-1;1;1;-20,267225;-70,109703;1;1107;ALTO HOSPICIO
56992;1;1;1;-42,623821;-73,772224;2;10203;CHONCHI
62025;0;1;0;-20,229713;-70,134804;1;1101;IQUIQUE
63338;9;1;0;-29,897644;-71,265488;1;4101;LA SERENA
63862;9;1;0;-34,639771;-71,365753;2;6310;SANTA CRUZ
66007;-1;0;1;-41,135899;-73,028061;2;10105;FRUTILLAR
66313;9;1;0;-53,294964;-70,369629;2;12301;PORVENIR
75499;7;1;0;-29,902227;-71,2509;2;4101;LA SERENA
75581;0;0;1;-34,071609;-70,735748;1;6106;GRANEROS
77022;-1;0;0;-34,070511;-70,729256;1;6106;GRANEROS
