mrun;cod_nivel;rbd;cod_curso;preferencia_postulante;agregada_por_continuidad;prioridad_matriculado;prioridad_hermano;prioridad_hijo_funcionario;prioridad_exalumno;loteria_original
270;-1;129;40100032;1;0;0;0;0;0;1
270;-1;12593;40100031;2;0;0;0;0;0;11
983;9;11265;13100033;1;0;0;0;0;0;37
983;9;15750;13100033;2;0;0;0;0;1;11
2952;9;22196;13100033;2;0;0;0;0;0;7
2952;9;22597;13100033;1;0;0;0;0;0;11
6026;-1;521;40100033;1;0;0;0;0;0;14
6026;-1;535;40100033;2;0;0;0;0;0;14
18840;5;8435;51100033;2;0;0;0;0;0;3
18840;5;24302;51100033;1;0;0;0;0;0;4
18840;5;24318;51100033;3;1;1;0;0;0; 
21688;1;525;11100033;2;0;0;0;0;0;62
21688;1;13463;11100031;3;0;0;0;0;0;39
21688;1;13552;11100033;1;0;0;0;0;0;5
28851;-1;2264;40100031;2;0;0;0;0;0;9
28851;-1;20489;40100033;1;0;0;0;0;0;4
29379;9;2124;13100033;2;0;0;0;0;0;26
29379;9;2411;13100033;1;0;0;0;0;0;9
29380;9;13551;13100033;2;0;0;0;0;0;46
29380;9;40126;13100033;1;0;0;0;0;0;15
30530;-1;527;40100033;2;0;0;0;0;0;33
30530;-1;13376;40100032;1;0;0;0;0;0;26
30555;9;610;13100031;4;0;0;0;0;0;26
30555;9;701;13100033;2;0;0;0;0;0;47
30555;9;772;17104133;1;0;0;0;0;0;14
30555;9;799;13100033;5;0;0;0;0;0;2
30555;9;13551;13100033;3;0;0;0;0;0;29
32450;1;7834;11100033;1;0;0;0;0;0;1
32450;1;22261;11100033;3;0;0;0;0;0;3
32450;1;22606;11100033;2;0;0;0;0;0;3
36399;-1;522;40100013;4;0;0;0;0;0;31
36399;-1;525;40100033;2;0;0;0;0;0;4
36399;-1;13376;40100032;1;0;0;0;0;0;47
36399;-1;13463;40100031;3;0;0;0;0;0;17
38156;-1;8483;40100032;1;0;0;1;0;0;5
42008;1;535;11100033;2;0;0;0;0;0;50
42008;1;40298;11100031;1;0;0;0;0;0;3
43552;0;630;50100031;1;0;0;0;0;0;5
43552;0;637;50100033;5;0;0;0;0;0;8
43552;0;13341;50100033;4;0;0;0;0;0;2
43552;0;13621;50100031;2;0;0;0;0;0;30
43552;0;13626;50100033;3;0;0;0;0;0;4
47213;1;7634;11100033;2;0;0;0;0;0;14
47213;1;7696;11100031;1;0;0;0;0;0;5
47213;1;22175;11100033;3;0;0;0;0;0;4
47701;1;2498;11100033;1;0;0;0;0;0;2
49891;2;8438;21100033;2;0;0;0;0;0;8
49891;2;24313;21100031;1;0;0;0;0;0;9
52487;0;711;50100033;1;0;0;0;0;0;25
52487;0;737;50100033;2;0;0;0;0;0;2
53362;-1;12602;40100033;2;0;0;0;0;0;1
53362;-1;12634;40100031;3;0;0;0;0;0;10
53362;-1;12719;40100033;1;0;0;0;0;0;15
56992;1;8147;11100033;2;1;1;0;0;0; 
56992;1;8219;11100033;1;0;0;0;0;0;1
62025;0;112;50100031;3;0;0;0;0;0;3
62025;0;114;50100031;2;0;0;0;0;0;18
62025;0;117;50100033;1;0;0;0;0;0;1
63338;9;518;13100013;4;0;0;0;0;0;29
63338;9;521;13100033;3;0;0;0;0;0;3
63338;9;530;13100033;2;0;0;0;0;0;43
63338;9;531;13100033;10;0;0;0;0;0;4
63338;9;535;13100033;5;0;0;0;0;0;15
