mrun;cod_nivel;rbd_admitido;cod_curso_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_curso_admitido_post_resp
122;9;8424;13100033;2;8424;13100033
144;-1;13504;40100033;1;13504;40100033
270;-1; ; ;6; ; 
857;9;7625;13100033;1;7625;13100033
883;9;2635;13100033;1;2635;13100033
1403;-1;11144;40100032;1;11144;40100032
1665;-1;12523;40100032;5;12523;40100032
1707;-1;13565;40100033;2;13417;40100032
1743;9;13475;13100033;1;13475;13100033
1864;-1;22358;40100031;4; ; 
1976;1;22223;11100032;5;22223;11100032
3683;0;8047;50100033;5;8047;50100033
3761;9;2104;13100033;1;2104;13100033
4702;9;7325;13100033;1;7325;13100033
5205;0;7836;50100033;1;7836;50100033
5206;9;2104;13100033;5;2104;13100033
5221;9;22553;13100033;1;22553;13100033
5436;4; ; ;6; ; 
5835;7;629;71100033;1;629;71100033
7411;1;15646;11100031;2;15646;11100031
7665;0;129;50100032;2;129;50100032
8018;0;13405;50100032;1;13405;50100032
8054;1;2561;11100033;1;2561;11100033
8392;9; ; ;6; ; 
8825;-1;7826;40100032;1;7826;40100032
9105;9;2552;13100033;1;2552;13100033
9418;-1;22413;40100031;5;22413;40100031
9602;7;31194;71100031;5;31194;71100031
9619;-1;15598;40100032;3; ; 
10215;9;2104;13100033;2;2104;13100033
10397;-1;13324;40100032;2;13324;40100032
10451;1; ; ;6; ; 
10769;1;40025;11100033;4; ; 
10913;-1; ; ;6; ; 
10914;-1;2139;40100033;5;2139;40100033
11513;9;10901;13100033;1;10901;13100033
11545;1;127;11100011;5;127;11100011
11556;9;7941;13100033;1;7941;13100033
11643;1;620;11100031;5;620;11100031
12538;0;20460;50100031;5;20460;50100031
12846;-1;22192;40100032;1;22192;40100032
13432;9;12192;13100033;2;12192;13100033
13552;7;40383;71100033;1;40383;71100033
13952;0;7401;50100031;1;7401;50100031
14219;9;15583;13100033;1;15583;13100033
14253;9;705;13100033;1;705;13100033
15078;9;22655;13100033;1;22655;13100033
15616;0;1049;50100033;1;1049;50100033
15759;1;12605;11100033;1;12605;11100033
16071;9;7941;13100033;1;7941;13100033
16275;-1;12603;40100031;1;12603;40100031
16308;-1;12693;40100033;1;12693;40100033
16576;1;589;11100032;5;589;11100032
17113;1;22262;11100033;1;22262;11100033
17152;0;2326;50100031;1;2326;50100031
17674;1;7826;11100033;1;7826;11100033
17816;-1;2284;40100031;1;2284;40100031
17970;9; ; ;6;2109;13100011
18127;-1;31203;40100033;1;31203;40100033
18295;9;15809;13100033;5;15809;13100033
18664;-1;664;40100032;1;664;40100032
19309;1;982;11100033;2;982;11100033
19405;7;40319;71100033;5;40319;71100033
19424;-1;1066;40100033;1;1066;40100033
19460;-1;7434;40100033;5;7434;40100033
20236;-1;7638;40100033;1;7638;40100033
20514;1;12617;11100032;2;12617;11100032
20567;0;15502;50100031;1;15502;50100031
21133;9;2111;13100033;5;2111;13100033
21330;-1;721;40100032;2;707;40100012
21456;0; ; ;6;628;50100033
21688;1; ; ;6; ; 
21696;9;2102;13100013;1;2102;13100013
22302;1;11242;11100033;5;11242;11100033
22806;0;22519;50100032;5;22519;50100032
22965;4; ; ;6; ; 
23424;-1;567;40100033;3; ; 
23838;7;7709;71100013;1;7709;71100013
24220;9;7470;17104133;1;7470;17104133
24374;1;7587;11100033;5;7587;11100033
24458;9;2444;13100033;2;2443;13100033
25218;9;13475;13100033;1;13475;13100033
25273;-1;22248;40100031;5;22248;40100031
25839;9;7627;13100023;1;7627;13100023
27267;0;847;50100033;1;847;50100033
28851;-1;2264;40100031;3; ; 
29379;9;2102;13100013;3; ; 
29380;9;768;13100013;4; ; 
30265;0;15503;50100031;1;15503;50100031
30375;9;20410;13100033;1;20410;13100033
30530;-1; ; ;6; ; 
30555;9; ; ;6; ; 
30751;1;12715;11100033;1;12715;11100033
30923;9;12631;13100033;1;12631;13100033
31223;9;2205;13100033;5;2205;13100033
31816;9;8001;13100033;1;8001;13100033
31817;9;7956;13100033;2;7956;13100033
32035;-1;15515;40100032;1;15515;40100032
32111;-1;8458;40100032;1;8458;40100032
32146;9;97;13100033;1;97;13100033
32339;9;2552;13100033;1;2552;13100033
32450;1;7832;11100031;4; ; 
32527;7;40194;71100033;5;40194;71100033
33627;0;11678;50100031;1;11678;50100031
34105;7;8002;71100033;1;8002;71100033
34275;1;22602;11100033;1;22602;11100033
34362;0;40153;50100032;4;13608;50100031
34506;-1;664;40100032;1;664;40100032
34988;1;7641;11100033;4;7646;11100033
35192;-1;11106;40100032;1;11106;40100032
35944;0;7632;50100032;5;7632;50100032
36152;-1;526;40100032;1;526;40100032
36350;-1;15696;40100032;1;15696;40100032
36399;-1; ; ;6; ; 
36713;1;40459;11100033;1;40459;11100033
37508;9;2163;13100031;2;2163;13100031
38396;9;13387;13100033;1;13387;13100033
38474;1;12667;11100031;1;12667;11100031
38594;9;8001;13100033;1;8001;13100033
39296;1;579;11100031;1;579;11100031
40365;1; ; ;6; ; 
40576;-1;8433;40100032;1;8433;40100032
40621;-1;2286;40100032;1;2286;40100032
40629;1;22007;11100033;1;22007;11100033
41034;7;730;71100031;1;730;71100031
41158;9;8108;13100033;1;8108;13100033
41277;-1;7346;40100032;1;7346;40100032
41739;1;7412;11100033;5;7412;11100033
