mrun;orden_postulantes
122;33748
144;66452
270;60470
857;20186
883;26714
1403;58991
1665;69043
1707;67819
1743;17894
1864;64030
1976;53720
3683;13299
3761;41513
4702;26428
5205;23831
5206;29579
5221;19855
5436;11752
5835;50004
7411;55223
7665;14250
8018;15606
8054;48320
8392;21685
8825;71695
9105;28816
9418;66823
9602;51497
9619;62151
10215;27682
10397;74464
10451;9661
10769;54521
10913;74018
10914;74008
11513;39151
11545;7805
11556;38367
11643;5869
12538;46447
12846;62229
13432;27301
13552;47077
13952;24492
14219;39248
14253;35596
15078;29414
15616;21546
15759;13740
16071;33815
16275;56330
16308;55718
16576;4836
17113;8419
17152;54813
17674;7021
17816;63711
17970;25568
18127;44056
18295;34650
18664;72558
19309;5386
19405;51813
19424;62985
19460;61995
20236;74314
20514;1932
20567;30568
21133;20952
21330;73494
21456;5751
21688;53651
21696;26033
22302;51205
22806;18047
22965;12567
23424;50571
23838;51031
24220;38308
24374;1706
24458;29280
25218;24465
25273;71252
25839;36459
27267;4304
28851;57693
29379;27321
29380;27329
30265;7295
30375;17343
30530;6389
30555;25736
30751;10380
30923;33611
31223;6645
31816;37527
31817;37537
32035;61932
32111;56349
32146;19314
32339;37249
32450;4026
32527;51147
33627;30541
34105;52238
34275;51609
34362;13200
34506;67137
34988;10566
35192;66207
35944;15896
36152;70297
36350;64814
36399;60994
36713;11265
37508;29878
38396;37418
38474;5210
38594;31987
39296;48369
40365;52368
40576;71734
40621;67300
40629;6669
41034;47006
41158;36496
41277;66374
41739;5254
42008;50138
42897;65267
42914;2650
43064;58514
43162;48214
43340;67399
43552;22269
43838;71427
44442;36568
44454;21782
44579;62891
44884;23167
45506;7482
46782;29070
47213;1099
47396;55837
47701;4429
48157;69581
48625;74333
48670;70284
48721;22638
48786;7575
48916;1942
48961;30559
49627;52499
51015;70136
51456;74429
51878;48346
52478;12380
52487;11615
52515;73631
52632;67593
52671;21935
53086;72671
53526;13844
53734;36875
54055;49319
54156;71934
54765;70466
55433;3454
56591;52652
57037;4396
57043;36532
57918;55290
58263;3108
58313;42205
58373;59949
58588;3723
58716;53998
59211;38452
59320;34612
59637;73358
59816;2912
60014;57815
60050;56612
60471;62962
60595;13420
60724;75017
61565;2681
61748;16021
61769;25791
61920;72941
62007;67864
62106;2498
62419;1482
63338;27977
63343;50376
63862;27586
64274;53175
64355;32755
64381;60123
64526;12404
64602;40299
64690;10700
66008;62520
66193;42488
66213;24949
66259;10602
66837;17202
67656;59840
67873;40335
67959;35451
67990;7180
68101;17400
68194;59517
68468;68871
68982;23568
69383;50061
69754;66405
70361;51096
70480;16862
70669;70485
70687;39648
71158;3687
71865;44686
72102;57017
72920;5316
73370;70596
73551;3148
73642;38045
73667;59997
73678;92
74802;58596
74957;11437
75282;44805
75807;33098
75966;25363
76241;22572
76721;24041
77022;60061
77107;16072
77456;2699
77516;60923
77747;11535
78109;55014
78762;14586
78912;10996
78960;10202
79246;52782
79418;45461
81168;67576
82632;49770
83825;13588
84120;44122
84332;14326
84376;9377
84578;21959
84714;63546
84972;42093
85551;10863
85640;4406
86001;12692
86750;7436
86764;53855
87674;11400
87952;64682
87979;52214
87993;63635
88088;58227
88305;27478
89162;60551
89379;24260
89613;3151
90114;3762
90511;72954
90996;73427
91083;23454
91265;64309
91712;6221
92126;44226
92372;32667
92754;39837
93280;14231
93281;14225
94026;31138
94305;73547
95133;17448
95162;51495
95535;36329
95804;18041
96179;3878
96583;73157
96800;31558
97587;24993
97848;33333
98056;48073
98281;18006
98463;40605
99542;30694
99963;53255
100066;63956
100369;72786
100709;58202
101663;66453
102548;40487
102712;3553
102845;30769
103481;19912
103710;68600
104250;38646
104408;44570
105439;4882
105482;51961
105757;48519
105801;569
105965;54833
106036;35202
106043;52917
106356;73927
107399;75369
107546;8000
108008;41635
108116;70110
108136;36277
108360;60757
108361;60773
108396;56441
108963;49586
109206;8238
109747;14204
109914;64504
110540;51514
110893;36824
111171;51208
111575;62744
112755;23919
112952;40067
113038;38365
113213;1731
114099;25894
114278;4634
114958;17787
116088;58554
116359;10362
116543;1255
116546;33594
116926;66962
116946;5675
117190;13650
117251;25352
118025;37231
118521;74210
118558;70194
119335;1845
119352;63710
119463;19916
119700;10414
119753;6806
120198;24410
120845;5381
120955;62992
121385;4926
121783;24163
122470;22385
122603;64790
122769;19741
122944;44095
123177;44480
123274;26037
123309;52024
123714;63059
123739;44451
123914;43376
124262;51848
124341;28441
124424;26931
124500;47201
124644;69690
125089;73980
125493;50850
125695;11301
126238;35813
126453;33346
126765;72383
126998;63177
128149;31648
128221;55279
128275;26631
128853;4306
129048;45565
129081;7859
129089;38392
129232;64589
129559;45790
129889;43724
130161;70925
130464;27843
130635;46780
130788;4810
131389;32324
131995;1825
131996;1821
132301;72845
133157;20795
134533;70217
134534;70209
134729;65057
134759;1885
134820;59759
134840;24552
135066;23747
135092;39368
135557;47775
135678;10425
135722;5736
136490;18963
136943;62655
137397;235
137482;32516
137859;70317
138256;15075
138585;34854
138751;50832
138881;8750
139322;52068
139546;22838
139819;50411
140137;776
140255;31980
140273;20542
141061;73984
141121;11941
141715;54702
142244;71790
142985;62811
143340;9693
143726;15595
143914;39630
144266;14124
144669;21206
144958;11089
144959;11094
145027;67406
145739;44247
146002;24378
146331;60527
146554;23168
146903;50188
148847;67086
149043;62417
149287;46919
149887;70701
150479;22655
150526;17932
150722;30365
151463;75429
152131;45309
152405;62042
152456;57467
152498;56763
152807;5137
153291;69651
153586;56110
153933;3412
153934;3408
154726;52091
154944;67256
155192;20492
155760;57559
155848;55637
156085;9024
156088;4347
157115;46052
