mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error;orden_postulantes
270;129;40100032;7331
983;11265;13100033;2785
2952;22597;13100033;3062
6026;521;40100033;8590
18840;24302;51100033;547
21688;13552;11100033;6474
28851;20489;40100033;6988
29379;2411;13100033;3750
29380;40126;13100033;3752
30530;13376;40100032;955
30555;772;17104133;3591
32450;7834;11100033;607
36399;525;40100033;7373
38156;8483;40100032;6842
42008;535;11100033;6090
43552;13626;50100033;3202
47213;7696;11100031;177
47701;2498;11100033;680
49891;8438;21100033;5232
52487;737;50100033;1760
53362;12719;40100033;7549
56992;8219;11100033;1465
62025;12519;50100031;1071
63338;13330;13100031;3807
63862;2444;13100033;3776
66007;7975;40100031;7542
66313;8474;13100033;4732
75499;11155;71100033;5783
75581;15762;50100033;3767
77022;2220;40100033;7279
77287;2119;50100031;2205
78912;710;11100033;1683
87993;40006;40100031;7681
89592;15501;40100032;7969
98250;12717;40100031;8074
102712;13363;11100033;543
104245;8454;50100021;3769
105439;714;11100033;753
107537;12683;13100033;2358
107546;2248;50100031;1186
109747;15583;13100033;2116
110893;40457;13100033;4659
111575;2471;40100031;7571
112524;40146;40100031;8218
113213;8444;11100031;254
113507;516;71100033;5627
114354;7391;11100033;3255
119134;7626;13100033;4889
119209;12749;11100033;1031
120181;11594;40100033;6140
121181;13551;13100033;3474
122944;13590;50100033;5414
126758;2406;13100033;2395
129889;7772;13100033;5353
133157;8438;50100033;3018
134840;40298;50100032;3471
137397;946;50100031;33
140137;117;50100031;125
144958;2330;11100033;1700
146365;2469;71100033;6110
147582;8449;71100033;5679
149887;24334;40100031;8525
152404;15792;40100032;7491
153934;24329;11100023;523
156085;664;11100031;1317
157842;12683;13100033;3129
160271;2551;13100031;2522
160446;111;11100033;1772
161659;122;50100033;456
161996;108;13100033;5176
168491;22523;13100033;3820
169695;7826;11100033;1812
178252;11139;13100033;3847
179223;13633;40100032;7949
179556;13457;50100031;223
181519;2255;50100031;4944
182428;2444;13100033;4528
182839;2124;40100031;2021
182973;22130;40100033;8149
184170;2612;13100033;4404
186974;1048;13100033;4346
187068;2283;13100033;3903
194291;2140;40100032;6722
196688;40399;11100033;936
201111;13552;11100033;595
203460;7850;40100031;7461
204252;721;50100032;2732
205090;2209;40100031;7215
209615;12711;11100033;2006
210842;40298;11100032;1793
210919;516;13100033;3229
215398;7720;13100033;4006
220139;40295;13100033;2724
231397;2412;50100033;5501
231673;7385;40100031;8701
234331;521;50100033;6134
243794;535;11100033;988
243938;15750;13100033;3056
244253;11139;13100033;1730
244336;15646;13100033;2658
244791;673;11100033;1432
247766;22464;13100033;3791
248081;15770;50100033;31
248795;22509;40100033;7362
251024;13587;11100033;98
253542;16950;40100033;8594
255548;22597;13100033;3622
257722;15662;50100032;2508
260225;647;11100032;812
267892;2553;50100031;5958
268859;40422;40100033;6603
271343;7801;40100033;7708
280768;12623;71100033;5671
282350;22195;11100032;6027
283140;22372;71100033;5542
287193;2284;71100033;5925
287344;22461;13100033;3382
289280;711;40100033;7320
290763;8438;21100033;9185
292770;712;71100033;5242
295407;12602;11100033;2001
296823;2129;71100031;5423
310740;2153;11100031;2005
313721;7772;13100033;2578
321140;40298;40100032;8955
322048;518;13100013;3955
330836;8434;61100033;332
333633;40194;71100033;5969
333988;2422;13100033;4173
338211;15807;11100033;1008
339678;7651;13100033;2449
341935;706;11100033;1624
345043;2151;50100031;2600
347305;13606;50100032;5380
347790;2115;40100031;8860
348453;12761;11100032;1468
349020;8434;40100033;8387
351255;15792;50100031;1176
359085;8433;41100033;1363
363560;2409;11100031;6454
364582;516;13100033;2995
365232;40295;40100031;6706
365765;8442;33100033;2908
375904;8427;13100033;4365
378691;2530;13100033;3076
378947;2457;40100031;8804
379785;15720;13100033;3867
380065;2420;40100031;8445
384375;40189;11100032;1791
384934;2262;11100031;1733
390140;2171;40100031;6156
393774;22009;40100033;7943
396615;8441;40100033;6784
398365;15840;13100033;5105
398741;530;71100033;6121
405849;2461;40100032;7322
415250;15595;50100031;2222
415291;40298;11100032;1261
417693;13586;50100032;5005
430382;7659;71100033;5975
431316;7626;13100033;4076
434423;40422;11100033;541
436906;129;13100031;2820
437813;539;50100031;4285
439683;2413;40100031;8671
440827;22249;50100031;2119
448748;7850;50100031;2814
449604;8019;11100033;1291
449804;7507;40100033;7427
452687;7706;40100032;6719
455708;8475;50100031;6305
456375;2422;13100033;4107
456672;2339;13100033;4909
463365;15646;13100033;3159
467074;22697;50100031;1500
476947;22608;40100032;8083
477487;15646;13100033;4720
479951;710;40100033;6925
481788;22494;13100033;4932
487091;12762;13100031;2824
492709;12594;11100033;1669
497816;111;11100033;422
497963;2268;11100033;6508
498017;22155;13100033;3620
507417;15632;71100031;5678
507813;15593;40100032;7095
509492;8108;40100033;6824
510385;8439;11100031;576
513761;15731;13100033;4039
523562;519;71100033;6407
530984;7333;40100033;8735
537931;7407;40100031;6825
538402;22327;11100033;50
554023;40295;40100031;8396
558201;8429;33100033;2936
563895;7832;40100031;8511
568176;15812;50100031;5411
578958;15595;40100032;6848
579751;2330;11100033;1100
580360;12594;11100033;905
582574;8411;13100033;4251
587365;123;40100031;8783
588511;2206;40100031;8421
588534;13303;50100032;665
590045;11265;40100031;1370
592568;7791;40100033;7848
595242;22022;13100033;2329
597104;24313;40100032;6927
597407;972;50100031;333
602044;22664;13100033;5282
604196;11155;71100033;6108
605142;8174;11100033;477
607313;621;40100033;7592
609917;2262;40100032;8627
609984;12602;13100033;4685
610650;8429;13100033;4271
616778;40343;13100033;3860
617277;680;50100031;5312
618507;7331;13100033;3649
619013;12518;40100032;7156
630300;13561;71100033;5667
632315;13587;71100033;6082
632553;2570;40100031;8075
633858;22626;13100033;4075
638263;8434;21100033;9182
639638;7505;13100033;5088
644193;8433;11100033;917
646077;7349;50100033;6733
648675;637;50100033;5366
649205;709;50100033;5321
649491;13457;50100031;2729
649987;20376;40100031;9026
651168;535;11100033;1666
652833;2379;40100031;8956
655210;13538;40100032;7988
657206;15807;40100031;8767
657754;2330;40100031;8723
659868;129;50100032;2160
661599;13587;11100033;1429
661681;8448;31100033;1473
668126;646;50100032;3283
672377;8437;40100033;7236
672997;22356;11100033;6380
675388;15583;13100033;3234
679179;40295;50100031;1517
680266;946;11100033;1331
681217;2248;50100031;3280
684603;12691;40100032;8483
686031;8438;51100033;1256
688118;2118;71100033;4518
689098;7639;50100031;1059
691904;13545;11100033;1021
696362;2417;11100033;678
699232;548;40100033;7535
699360;7774;11100033;6003
699694;15739;13100033;4288
701156;7397;40100032;8301
704028;8435;21100033;4421
708109;15759;13100033;2505
711400;15622;50100031;2232
719290;2448;13100031;4939
720928;2319;13100033;4851
723889;617;50100033;5511
726807;40006;50100032;2235
731319;8003;40100032;8679
733712;22565;40100033;7739
736303;535;13100033;4877
738983;22581;40100033;8916
742641;848;11100033;6650
743412;7631;40100032;8721
744598;521;11100033;1253
744781;15811;40100031;7439
746925;7791;50100033;5002
747557;22664;13100033;3723
752241;40343;13100033;3181
752364;40231;40100031;7799
755273;12757;40100032;957
758728;7720;13100033;4862
764473;2523;40100031;7719
765005;522;11100013;189
