rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;tiene_orden_pie;tiene_orden_alta_t
1;9;131000000133;310;1;3;0;1;0;0;0;-18,4872;-70,295212;245;238;14;37;0;0;187;1;0;0
4;9;131000000133;310;1;3;0;1;0;0;0;-18,474239;-70,308273;245;239;14;22;203;0;0;1;1;1
5;1;111000000133;110;1;3;0;1;0;0;0;-18,4769;-70,313454;35;33;2;6;0;0;25;1;1;0
5;7;711000000133;110;7;3;0;1;0;0;0;-18,4769;-70,313454;35;1;0;0;0;0;1;1;0;0
5;9;131000000133;310;1;3;0;1;0;0;0;-18,4769;-70,313454;128;92;0;5;0;0;87;1;1;0
7;9;131000000133;310;1;3;0;1;0;0;0;-18,476151;-70,288368;320;300;10;48;0;0;242;1;1;0
8;-1;401000000131;10;4;1;0;1;0;0;0;-18,482491;-70,317581;30;30;2;5;0;0;23;1;0;0
8;0;501000000131;10;5;1;0;1;0;0;0;-18,482491;-70,317581;30;5;0;0;0;0;5;1;0;0
8;1;111000000131;110;1;1;0;1;0;0;0;-18,482491;-70,317581;35;9;0;0;0;0;9;1;1;0
8;7;711000000131;110;7;1;0;1;0;0;0;-18,482491;-70,317581;40;2;0;0;0;0;2;1;0;0
8;9;131000000131;310;1;1;0;1;0;0;0;-18,482491;-70,317581;90;55;0;0;0;0;55;1;0;0
9;-1;401000000133;10;4;3;0;1;0;0;0;-18,486691;-70,30452;84;84;1;13;0;0;70;2;0;0
9;0;501000000133;10;5;3;0;1;0;0;0;-18,486691;-70,30452;112;29;2;0;0;0;27;2;0;0
9;1;111000000133;110;1;3;0;1;0;0;0;-18,486691;-70,30452;140;38;0;0;0;0;38;2;0;0
9;7;711000000133;110;7;3;0;1;0;0;0;-18,486691;-70,30452;147;5;0;0;0;0;5;2;0;0
10;-1;401000000111;10;4;1;0;1;0;0;1;-18,474369;-70,309036;25;25;2;4;0;0;19;1;0;0
10;0;501000000111;10;5;1;0;1;0;0;1;-18,474369;-70,309036;25;11;1;0;0;0;10;1;0;0
10;1;111000000111;110;1;1;0;1;0;0;1;-18,474369;-70,309036;45;33;0;0;0;0;33;1;0;0
10;7;711000000111;110;7;1;0;1;0;0;1;-18,474369;-70,309036;45;34;0;0;0;0;34;1;0;0
11;-1;401000000133;10;4;3;0;1;0;0;0;-18,491011;-70,311577;35;35;2;6;0;0;27;1;1;0
11;0;501000000133;10;5;3;0;1;0;0;0;-18,491011;-70,311577;35;11;0;0;0;0;11;1;0;0
11;1;111000000133;110;1;3;0;1;0;0;0;-18,491011;-70,311577;35;14;0;0;0;0;14;1;0;0
11;7;711000000133;110;7;3;0;1;0;0;0;-18,491011;-70,311577;70;31;0;0;0;0;31;1;0;0
12;-1;401000000133;10;4;3;0;1;0;0;0;-18,49193;-70,293968;24;24;2;4;0;0;18;1;1;0
12;0;501000000133;10;5;3;0;1;0;0;0;-18,49193;-70,293968;26;0;0;0;0;0;0;1;0;0
12;1;111000000133;110;1;3;0;1;0;0;0;-18,49193;-70,293968;34;17;0;0;0;0;17;1;0;0
12;7;711000000133;110;7;3;0;1;0;0;0;-18,49193;-70,293968;34;5;0;0;0;0;5;1;0;0
13;-1;401000000133;10;4;3;0;1;0;0;0;-18,48134;-70,285347;26;26;2;4;0;0;20;1;1;0
13;0;501000000133;10;5;3;0;1;0;0;0;-18,48134;-70,285347;26;15;0;0;0;0;15;1;0;0
13;1;111000000133;110;1;3;0;1;0;0;0;-18,48134;-70,285347;34;18;0;0;0;0;18;1;0;0
13;7;711000000133;110;7;3;0;1;0;0;0;-18,48134;-70,285347;34;3;0;0;0;0;3;1;0;0
14;-1;401000000133;10;4;3;0;1;0;0;0;-18,481239;-70,289757;35;35;2;6;0;0;27;1;0;0
14;0;501000000133;10;5;3;0;1;0;0;0;-18,481239;-70,289757;35;5;2;0;0;0;3;1;0;0
14;1;111000000133;110;1;3;0;1;0;0;0;-18,481239;-70,289757;35;5;0;0;0;0;5;1;0;0
14;7;711000000133;110;7;3;0;1;0;0;0;-18,481239;-70,289757;35;10;0;0;0;0;10;1;0;0
16;-1;401000000131;10;4;1;0;1;0;0;0;-18,474831;-70,308777;25;25;2;4;0;0;19;1;0;0
16;0;501000000131;10;5;1;0;1;0;0;0;-18,474831;-70,308777;25;13;0;0;0;0;13;1;0;0
16;1;111000000131;110;1;1;0;1;0;0;0;-18,474831;-70,308777;27;9;0;0;0;0;9;1;0;0
16;7;711000000131;110;7;1;0;1;0;0;0;-18,474831;-70,308777;30;1;0;0;0;0;1;1;0;0
17;-1;401000000133;10;4;3;0;1;0;0;0;-18,46727;-70,290939;25;25;2;4;0;0;19;1;0;0
17;0;501000000133;10;5;3;0;1;0;0;0;-18,46727;-70,290939;50;22;0;0;0;0;22;1;0;0
17;1;111000000133;110;1;3;0;1;0;0;0;-18,46727;-70,290939;60;23;0;0;0;0;23;1;0;0
17;7;711000000133;110;7;3;0;1;0;0;0;-18,46727;-70,290939;35;9;0;0;0;0;9;1;0;0
