rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;habilitado_distancia
1;9;131000000133;310;1;3;0;1;0;0;0;-18,4872;-70,295212;245;182;4;0;0;0;178;1;0
4;9;131000000133;310;1;3;0;1;0;0;0;-18,474239;-70,308273;245;0;0;0;0;0;0;1;1
5;1;111000000133;110;1;3;0;1;0;0;0;-18,4769;-70,313454;35;0;0;0;0;0;0;1;1
5;7;711000000133;110;7;3;0;1;0;0;0;-18,4769;-70,313454;35;0;0;0;0;0;0;1;1
5;9;131000000133;310;1;3;0;1;0;0;0;-18,4769;-70,313454;128;1;0;0;0;0;1;1;1
7;9;131000000133;310;1;3;0;1;0;0;0;-18,476151;-70,288368;320;0;0;0;0;0;0;1;1
8;-1;401000000131;10;4;1;0;1;0;0;0;-18,482491;-70,317581;30;10;2;0;0;0;8;1;1
8;0;501000000131;10;5;1;0;1;0;0;0;-18,482491;-70,317581;30;1;0;0;0;0;1;1;1
8;1;111000000131;110;1;1;0;1;0;0;0;-18,482491;-70,317581;35;2;0;0;0;0;2;1;1
8;7;711000000131;110;7;1;0;1;0;0;0;-18,482491;-70,317581;40;0;0;0;0;0;0;1;1
8;9;131000000131;310;1;1;0;1;0;0;0;-18,482491;-70,317581;90;41;0;0;0;0;41;1;1
9;-1;401000000133;10;4;3;0;1;0;0;0;-18,486691;-70,30452;84;0;0;0;0;0;0;2;1
9;0;501000000133;10;5;3;0;1;0;0;0;-18,486691;-70,30452;112;2;2;0;0;0;0;2;1
9;1;111000000133;110;1;3;0;1;0;0;0;-18,486691;-70,30452;140;2;0;0;0;0;2;2;1
9;7;711000000133;110;7;3;0;1;0;0;0;-18,486691;-70,30452;147;0;0;0;0;0;0;2;1
10;-1;401000000111;10;4;1;0;1;0;0;1;-18,474369;-70,309036;25;14;2;0;0;0;12;1;1
10;0;501000000111;10;5;1;0;1;0;0;1;-18,474369;-70,309036;25;8;1;0;0;0;7;1;1
10;1;111000000111;110;1;1;0;1;0;0;1;-18,474369;-70,309036;45;29;0;0;0;0;29;1;1
10;7;711000000111;110;7;1;0;1;0;0;1;-18,474369;-70,309036;45;34;0;0;0;0;34;1;1
11;-1;401000000133;10;4;3;0;1;0;0;0;-18,491011;-70,311577;35;19;2;0;0;0;17;1;1
11;0;501000000133;10;5;3;0;1;0;0;0;-18,491011;-70,311577;35;6;0;0;0;0;6;1;1
11;1;111000000133;110;1;3;0;1;0;0;0;-18,491011;-70,311577;35;8;0;0;0;0;8;1;1
11;7;711000000133;110;7;3;0;1;0;0;0;-18,491011;-70,311577;70;29;0;0;0;0;29;1;1
12;-1;401000000133;10;4;3;0;1;0;0;0;-18,49193;-70,293968;24;0;0;0;0;0;0;1;1
12;0;501000000133;10;5;3;0;1;0;0;0;-18,49193;-70,293968;26;1;0;0;0;0;1;1;1
12;1;111000000133;110;1;3;0;1;0;0;0;-18,49193;-70,293968;34;5;0;0;0;0;5;1;1
12;7;711000000133;110;7;3;0;1;0;0;0;-18,49193;-70,293968;34;3;0;0;0;0;3;1;1
13;-1;401000000133;10;4;3;0;1;0;0;0;-18,48134;-70,285347;26;15;2;0;0;0;13;1;1
13;0;501000000133;10;5;3;0;1;0;0;0;-18,48134;-70,285347;26;10;0;0;0;0;10;1;1
13;1;111000000133;110;1;3;0;1;0;0;0;-18,48134;-70,285347;34;15;0;0;0;0;15;1;1
13;7;711000000133;110;7;3;0;1;0;0;0;-18,48134;-70,285347;34;1;0;0;0;0;1;1;1
14;-1;401000000133;10;4;3;0;1;0;0;0;-18,481239;-70,289757;35;22;2;1;0;0;19;1;1
