mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
2094;4253848;0;1;0
2295;23501458;1;1;1
2577;3684520;0;1;1
4711;12462794;0;1;1
4909;24452065;0;1;0
5436;1921507;0;1;1
5436;19636870;0;1;1
6367;13809032;0;1;1
6601;24748262;0;1;0
8320;21120673;0;1;1
13432;24679373;0;1;0
14028;13887788;0;1;1
15683;21624513;0;1;0
15982;19320710;0;1;0
17186;17884551;0;1;1
18046;17124749;0;1;1
19151;17283564;0;1;0
24138;3863700;0;1;1
24905;1259083;1;1;0
26513;24903653;1;1;0
27183;17117554;1;1;1
29386;10483749;0;1;0
29432;24019923;0;1;0
29707;209540;0;1;1
30335;12622148;0;1;0
31148;1018325;0;1;1
33990;5425680;0;1;0
34914;15549973;0;1;0
35327;137040;1;1;1
35489;14124545;1;1;1
36483;18945998;0;1;0
37007;11792962;0;1;0
37245;1955909;0;1;0
38004;17724205;0;1;0
38349;22448480;0;1;0
39414;24629246;0;1;0
39758;8157997;0;1;0
40458;23615698;0;1;0
40793;11717367;0;1;0
40827;11796311;0;1;1
41071;17778790;0;1;1
41331;15509018;0;1;1
42638;23541932;1;1;0
43000;12737255;0;1;0
43523;20951141;0;1;0
43853;7398287;0;1;0
44092;15532129;1;1;1
44981;5038285;0;1;0
44981;11045447;0;1;0
46224;5124575;0;1;0
47060;1544457;0;1;0
47295;5684215;0;1;1
50867;19821943;0;1;0
50879;16252800;0;1;0
50879;21753098;0;1;0
51953;3902977;0;1;0
52438;11770756;0;1;1
52608;348694;0;1;0
52856;15755944;0;1;1
53526;17050633;0;1;0
54314;23367367;0;1;0
55030;14380776;0;1;0
55456;2828243;1;1;1
56276;13132134;1;1;1
56437;15242658;0;1;0
57731;1332641;0;1;1
57808;4631919;0;1;1
58838;3896650;0;1;0
59002;24387541;0;1;1
60915;316203;1;1;0
60953;9268656;0;1;1
63386;17225768;0;1;0
66540;2432215;1;1;0
67437;8848882;0;1;0
67817;13263715;0;1;1
68759;2626204;0;1;1
68899;9639417;0;1;0
68899;11639679;0;1;0
68899;15478761;0;1;0
68912;14210619;0;1;1
68912;18003523;0;1;0
69640;23245628;0;1;0
70571;13515362;0;1;0
71422;16582838;0;1;0
72233;10011124;1;1;0
72674;3336035;0;1;0
73084;10365514;0;1;1
74392;16705029;0;1;1
74745;7316922;0;1;0
75580;24414029;0;1;0
76581;17885336;0;1;1
78681;6733015;0;1;0
81276;4643149;0;1;1
84084;621483;0;1;0
84120;4300708;0;1;0
84359;8630274;1;1;1
84809;18272795;0;1;1
85480;7889318;0;1;0
85627;5961469;1;1;1
85627;19210751;1;1;1
86575;17431915;1;1;0
87045;1374083;0;1;1
87209;24850920;0;1;0
88820;11466081;0;1;1
88820;19557733;0;1;1
89706;8464050;0;1;0
95206;20045336;0;1;1
95716;19224874;0;1;0
95716;19547436;0;1;1
96148;1946452;0;1;1
96179;20240987;0;1;1
96179;22742381;1;1;1
97006;16037565;0;1;1
97571;12389431;0;1;0
97968;11489940;0;1;0
97968;19072152;0;1;0
100117;4568157;0;1;1
101235;3317130;0;1;0
101407;14886454;0;1;1
102477;15026631;0;1;1
102612;9179801;0;1;0
103803;9616345;1;1;0
104322;13047664;0;1;1
106037;20723384;0;1;0
107689;13478230;0;1;1
112011;8805875;0;1;0
114416;16135738;0;1;0
115086;11487051;0;1;0
119018;20500677;0;1;0
119669;21646550;0;1;1
120571;21972190;0;1;1
121249;20727442;0;1;0
121944;6138990;0;1;0
123239;20273165;0;1;0
124261;5324457;0;1;0
127619;3155441;0;1;0
127619;5578165;0;1;1
127710;21950567;0;1;0
127743;14446709;1;1;0
128221;12178819;0;1;1
128502;11956052;0;1;0
129048;212639;0;1;1
129559;3475713;0;1;0
129559;7313955;0;1;0
131525;8168422;0;1;1
131645;16630026;0;1;1
131855;10178127;1;1;1
133449;2482357;0;1;0
135912;24604196;0;1;0
136142;18726746;1;1;1
136965;16368267;0;1;1
138350;4649923;0;1;0
139613;12869582;0;1;0
142197;23972202;1;1;1
144080;4475779;0;1;0
144080;24183460;0;1;0
144367;560517;0;1;0
144367;11767057;0;1;0
145636;12925657;0;1;1
146866;4034008;0;1;0
149806;22143884;0;1;0
150020;6482926;0;1;1
150116;10172645;0;1;0
152280;2845345;0;1;1
152906;21406995;0;1;1
154649;5485644;0;1;0
155003;24717400;0;1;1
155010;6593643;0;1;1
155360;8468091;0;1;0
155924;21706319;0;1;0
156679;5583461;1;1;1
161410;12647103;1;1;1
161711;23585877;0;1;1
162147;7624516;0;1;1
162422;797838;0;1;1
162714;6453810;0;1;0
163152;23425387;0;1;1
163246;21184508;0;1;0
164835;19289877;1;1;0
165073;8640963;1;1;1
166014;18871090;0;1;0
166066;12294157;0;1;0
166347;17251559;0;1;0
167006;15215395;0;1;0
169362;14488102;0;1;1
169742;15078145;0;1;0
169789;12046492;0;1;0
170000;1410441;0;1;0
170025;22809438;0;1;0
170477;20370529;0;1;1
171386;18319938;0;1;1
172378;8931043;0;1;0
173739;23180584;0;1;1
174926;3035693;1;1;0
176661;23428138;0;1;1
177070;18810037;0;1;0
178279;16964430;0;1;1
179600;12471174;0;1;0
180653;9236596;0;1;0
182290;5383425;0;1;1
184475;10634515;1;1;1
185117;18457043;0;1;0
187211;7114317;0;1;0
188063;19287350;0;1;0
188190;24826005;0;1;1
188360;10252352;0;1;0
188525;22279891;0;1;1
188764;15974171;0;1;0
188962;24800837;0;1;1
189019;3495505;1;1;0
189723;8336906;0;1;1
191593;4081926;0;1;1
193247;23166874;0;1;0
194347;19869565;0;1;0
195349;848339;0;1;1
195698;12687626;0;1;1
197762;23737191;0;1;1
198571;19106173;0;1;1
199933;849992;0;1;0
201668;11710331;0;1;0
203020;1918945;1;1;1
203029;4632572;0;1;0
204144;15195404;0;1;0
204638;20970998;0;1;0
205460;22890879;0;1;0
206111;5307116;0;1;0
206690;23038242;0;1;0
207393;3513835;1;1;0
207393;5426537;0;1;0
207393;11503877;0;1;0
210454;18297715;0;1;1
212007;9804109;0;1;1
212459;24576460;1;1;0
214288;20022987;0;1;0
215363;4799671;0;1;0
216320;2199341;0;1;1
217064;15236032;0;1;0
217395;832829;0;1;0
217601;15214001;0;1;1
219185;342595;0;1;0
219187;17313682;0;1;0
219683;10721789;0;1;0
220139;16295956;0;1;0
220714;15788692;0;1;0
222022;16142665;1;1;1
223198;554384;0;1;1
223946;23353254;0;1;0
224851;20371357;0;1;0
227181;12213367;0;1;0
228197;7705129;1;1;1
228653;23517018;0;1;1
232144;603888;0;1;0
232941;23591547;0;1;0
234331;11522561;1;1;1
236000;2466475;0;1;0
236000;17545413;0;1;1
236343;3671110;0;1;1
237399;9639041;1;1;0
238281;7553127;0;1;0
239658;23381885;0;1;1
240245;17703811;0;1;1
242996;14735926;1;1;0
243292;13770735;1;1;0
244136;12527957;0;1;1
244321;7713435;0;1;0
244885;7378475;0;1;0
245522;19725812;0;1;1
246404;6891291;0;1;1
247109;3878085;0;1;0
247109;11068951;0;1;0
247109;17326966;0;1;0
247192;21334597;0;1;0
251109;18055160;0;1;1
251672;13793994;0;1;0
256630;13702888;1;1;0
258728;6944519;0;1;0
258728;13643746;0;1;0
259871;3393394;0;1;1
260764;12643866;0;1;1
263725;1912546;0;1;0
265892;3422779;0;1;1
266599;5470752;0;1;0
267290;10211823;0;1;0
267428;6960989;0;1;1
267532;19243699;0;1;1
267767;11650445;0;1;0
267767;18444634;0;1;0
268637;5888568;0;1;0
268717;12540814;0;1;0
272613;3525864;0;1;1
272613;11607671;0;1;1
275992;8099391;0;1;1
276174;8402249;0;1;1
278296;18462265;0;1;0
278428;4923858;0;1;1
278521;1452789;0;1;1
278521;24157194;0;1;1
279434;4219825;1;1;1
280213;14266410;1;1;1
280981;6582096;0;1;1
283140;7875468;0;1;1
284062;6894826;1;1;1
284062;7971011;0;1;1
285649;10702379;0;1;0
285649;23880696;0;1;1
291245;8772582;0;1;1
291245;12646849;0;1;1
292999;16096896;0;1;1
294407;4907718;0;1;1
300510;16290453;0;1;0
301739;22547816;0;1;0
303467;1122159;0;1;1
307291;20930582;0;1;0
307776;21129233;0;1;0
308986;22680556;1;1;0
309071;17799462;0;1;0
309144;2840038;0;1;1
309148;13070398;0;1;1
309358;10221913;0;1;0
309866;5667719;0;1;1
309866;5751160;0;1;1
312164;14676550;0;1;1
315026;19848090;0;1;0
316372;15354161;0;1;1
317836;1248865;0;1;0
322218;11649260;0;1;1
322368;2340662;1;1;0
322666;5749089;0;1;0
322982;20202801;1;1;0
323125;17304118;1;1;0
324253;6763693;0;1;0
325757;22003258;0;1;0
327487;23528631;0;1;0
328775;8888755;0;1;1
328775;14166366;0;1;1
328919;2603803;0;1;1
331078;513851;0;1;1
331078;16172834;0;1;1
334760;24440653;0;1;0
336035;18564554;0;1;1
336305;17630963;0;1;0
336488;15893543;0;1;1
337219;13083444;0;1;0
338144;13809292;0;1;1
339199;8186379;0;1;1
343211;13775679;0;1;0
344119;8952431;1;1;1
346515;6018971;0;1;1
346551;21106354;0;1;1
347182;13668489;0;1;0
347466;458226;0;1;1
347601;23064617;0;1;0
348748;20528638;0;1;1
349207;4350932;0;1;1
349207;20235295;1;1;0
349207;22447574;0;1;0
349984;11002858;0;1;0
350030;4656842;0;1;0
351375;15105301;0;1;0
351375;22898949;0;1;0
351702;17441024;1;1;1
352418;5117179;0;1;0
352654;8781188;1;1;1
353349;12628149;0;1;1
353349;19403291;0;1;1
354592;2171137;0;1;0
355627;20804757;0;1;1
355867;9074396;0;1;0
356368;10462588;0;1;0
356584;15684740;0;1;0
357452;3123972;0;1;0
357452;4578533;1;1;0
357833;17996181;0;1;1
359085;17801141;0;1;1
359644;5166538;1;1;1
359769;6817963;0;1;1
361465;24084809;0;1;1
362134;21149194;0;1;0
362717;22664953;0;1;0
363641;11622814;0;1;1
366151;18420941;0;1;1
366858;20564996;0;1;0
366858;24008661;0;1;0
370015;24579709;0;1;0
370824;22356094;0;1;0
