mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
360;11818;401000000131
1828;2091;111000000133
2435;2944;111000000111
2895;12632;131000000133
3141;1709;511000000133
3502;17607;611000000133
3572;2116;111000000131
3986;227;111000000133
4807;40257;501000000131
5564;9288;501000000131
5894;4564;501000000132
6240;12309;231000000133
6287;22086;611000000133
6634;4982;811000000131
6724;12323;111000000133
7001;10001;401000000131
7238;9638;501000000131
7838;10541;131000000131
9245;10019;711000000131
9417;10090;111000000133
9844;8930;711000000112
10059;4452;111000000133
10194;25462;111000000132
10371;1520;131000000133
10396;305;111000000132
10840;10881;501000000132
11319;15840;131000000133
11636;13539;311000000133
12563;10455;501000000133
12706;3940;131000000133
12951;518;131000000113
12989;9008;131000000133
13207;9668;501000000133
13219;1859;311000000232
14115;9288;501000000131
14967;2978;711000000133
15118;25386;111000000131
15323;1853;511000000133
16311;11712;401000000132
16754;3248;341041002133
16890;2089;311000000133
17254;1677;111000000112
17970;11265;361061003133
18302;2102;131000000113
18396;31221;111000000133
18645;2102;131000000113
18920;2551;131000000131
18923;24496;131000000133
19055;6762;401000000113
19686;14868;811000000133
20439;10911;131000000133
21569;40298;131000000133
21949;15745;411000000133
22288;11342;111000000133
22356;10721;131000000133
22707;6719;111000000133
22766;8256;511000000133
23406;578;131000000133
23424;31219;111000000233
23744;22623;511000000133
23838;22560;131000000133
23941;9088;111000000133
24010;322;311000000133
24036;3090;501000000131
25091;40298;611000000133
25139;10116;401000000132
25642;22543;131000000133
26352;9337;111000000132
26512;20175;131000000133
26883;25644;501000000131
28028;1855;111000000133
28397;218;131000000133
29649;7958;111000000133
29961;1191;611000000133
30290;25162;501000000131
30856;10200;501000000111
31629;25927;401000000132
32111;24302;111000000131
32292;10419;131000000133
32487;1502;341041005133
32488;3359;331000000133
32887;2553;711000000133
33036;3481;111000000133
33200;5662;431000000131
33569;7644;501000000131
34069;9407;131000000133
34699;10542;131000000133
34758;9892;111000000132
34891;11594;401000000133
35921;25674;711000000131
36350;2121;111000000112
37028;10100;501000000131
37165;40399;511000000133
37245;14896;111000000131
37385;11;211000000133
37689;420;131000000133
38255;12649;231000000133
38278;15501;501000000132
38683;2840;811000000133
39341;6643;231000000133
39652;228;111000000133
39680; ; 
40100;7352;501000000133
40122;3003;131000000131
40325;220;351054018133
40792;5394;131000000133
41061;14587;611000000133
41391;8514;111000000111
41469;1502;361063009133
42004;2087;611000000133
42496;2167;111000000132
42524;7626;131000000133
42597;9150;131000000133
42657;9647;501000000131
