mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
678;1;0;1;0;-29,9917582;-71,322098
1133;3;0;1;0;-33,4792754;-70,6391631
2760;2;0;1;0;-33,4940143;-70,7822442
3667;1;0;0;0;-37,4736796;-72,3549476
3728;9;1;1;0;-39,2839433;-72,227544
4205;9;1;0;0;-22,4614456;-68,9378015
4311;5;0;0;0;-39,284024;-72,2280387
4493;11;1;1;0;-33,5018051;-70,826488
5834;10;1;0;1;-33,0582099;-71,3739064
6175;1;1;1;0;-33,58711;-70,6004977
6841;1;1;1;0;-33,4298335;-70,6087817
7752;9;0;1;1;-36,9854284;-73,158867
8140;11;1;0;1;-33,57664;-70,8232564
8920;1;0;0;0;-36,7489512;-73,0855481
9245;7;1;1;0;-33,4533063;-70,6903495
9397;9;1;0;0;-41,4733918;-72,9342882
10913;2;0;0;0;-53,1528748;-70,9234088
11191;7;1;1;0;-38,4224174;-72,3711819
13446;2;0;0;0;-33,4362213;-70,7651572
13541;5;1;0;0;-41,4770859;-72,9639123
14028;5;0;0;1;-37,4712164;-72,3531028
14469;5;1;1;0;-35,9929088;-72,3172885
15738;1;0;0;0;-33,0438243;-71,3733209
15874;1;0;1;0;-33,608849;-70,7120623
16333;9;1;0;1;-33,4970564;-70,7762057
16967;1;0;1;0;-33,4776463;-70,5974999
17638;9;1;1;0;-34,431374;-71,1545261
17818;1;1;1;0;-22,9099717;-68,2013363
18556;9;1;1;0;-22,4565192;-68,9351807
19074;11;0;1;0;-33,4675816;-70,6252573
20393;9;1;0;0;-23,6283807;-70,3929813
20849;1;1;1;0;-35,536398;-71,4888864
21745;9;1;1;0;-36,9638523;-72,9309197
22139;9;1;1;0;-28,5744619;-70,7607526
23277;6;0;0;0;-33,5966292;-70,5802622
23838;10;1;0;0;-41,4212753;-72,9117692
24799;1;1;0;0;-33,4863306;-70,6479125
25650;9;0;0;1;-36,8417535;-73,0069379
26769;5;1;0;0;-40,130526;-72,3892022
26883;1;1;0;0;-33,5301206;-70,5823953
27111;6;0;0;0;-33,5924035;-70,7076809
29069;3;0;0;0;-33,0325337;-71,4905367
29342;9;0;1;0;-33,5170776;-70,6427948
29748;11;1;0;0;-36,585448;-72,0804279
31468;1;0;0;0;-33,5943823;-70,6801353
32740;1;0;0;0;-33,5164803;-70,6080298
33608;1;0;0;0;-33,4362351;-70,6539041
34734;5;0;0;0;-40,5751461;-73,1140959
34920;12;0;0;0;-36,7861369;-73,0403771
35869;8;1;0;1;-33,5839541;-70,6001974
38035;6;0;0;0;-33,1849244;-70,7981013
39328;1;0;1;0;-35,4314681;-71,6454315
39487;4;1;1;0;-33,2097706;-70,6845339
39758;3;0;0;0;-23,6629237;-70,3976611
39921;10;1;0;0;-33,6098139;-70,5254936
40059;2;1;1;0;-33,3888146;-70,6364344
40429;1;1;0;0;-33,612645;-70,6879859
40570;12;0;1;0;-36,6110796;-72,0850689
40916;9;1;0;0;-36,7790547;-73,0887978
41009;1;1;0;0;-33,4956429;-70,7341525
41705;3;1;1;1;-35,1122986;-71,2772169
41801;10;0;0;0;-33,5893338;-70,6003399
42068;9;0;1;0;-33,3171544;-70,7565653
42210;2;1;1;0;-29,8887538;-71,2414265
43986;11;0;0;0;-33,4699007;-70,7266273
44270;7;0;1;0;-33,4332448;-70,7659099
45042;3;1;0;1;-45,5669886;-72,0701201
45386;5;0;0;0;-20,2542551;-70,1123936
46068;3;0;0;0;-32,6177264;-70,7138568
46128;1;1;0;0;-33,0484898;-71,6077737
47108;9;1;1;0;-34,157382;-70,742774
47177;7;0;1;0;-29,8752738;-71,2284555
47192;2;1;1;0;-36,7160148;-73,1147136
47878;9;0;0;0;-29,9435811;-71,2837795
48259;10;0;1;0;-33,5188152;-70,7981287
49495;11;1;1;0;-33,4177233;-70,7557886
50880;9;1;1;1;-35,4439836;-71,6448355
51162;7;0;1;0;-33,043929;-71,6546705
51173;1;1;0;0;-34,0650278;-70,7185785
51609;9;0;0;0;-33,4332631;-70,6088702
52814;11;0;0;0;-40,5843397;-73,1243788
52819;9;0;1;0;-39,8757317;-71,8945823
52851;11;0;0;0;-37,4513237;-72,3449183
53034;9;1;0;0;-44,7283985;-72,6825889
54792;9;1;1;0;-20,2414424;-70,1283433
