mrun;cod_nivel;rbd_admitido;cod_curso_admitido
116;7;8492;711000000122
270;3;18087;311000000133
355;3;16652;311000000133
1010;11;8925;331000000133
1173;4;2555;411000000133
2134;9;10792;131000000133
2309;6;10320;611000000133
3224;2;4578;211000000133
3263;2;22419;211000000133
3694;10;3348;231000000133
4030;2;9104;211000000133
5204;4;3437;411000000133
5456;9;2205;131000000133
5535;6;25041;611000000133
5551;9;6085;131000000133
5881;10;20436;231000000133
6586;9;8255;131000000133
6681;9;4555;131000000121
6717;9;25085;131000000133
7055;8;9873;811000000131
7664;4;9757;411000000113
7908;4;9912;411000000113
8762;3;31432;311000000133
9618;3;7639;311000000133
10542;11;2939;361063011133
10836;2;10257;211000000132
10966;3;25189;311000000133
11367;9;7628;131000000113
11519;11;12716;351054020133
12048;11;9579;351052013131
12105;3;10589;311000000133
12404;5;9634;511000000133
13446;3;12122;311000000133
13541;6;9127;611000000133
13674;6;10716;611000000131
14004;10;31116;231000000133
14261;10;4165;231000000133
14344;9;10711;131000000133
14732;11;8925;331000000133
14967;9;379;131000000133
15537;11;9768;331000000133
15582;9;4166;131000000113
15847;4;25369;411000000133
16014;7;8375;711000000133
16378;9;1987;131000000132
16766;8;10749;811000000133
17370;9;10573;131000000133
17471;7;25717;711000000131
17502;2;4331;211000000133
17817;2;6135;211000000133
17864;3;316;311000000133
18054;11;6500;331000000133
18115;8;2151;811000000131
18126;4;10332;411000000133
19265;6;5608;611000000133
20918;10;1354;231000000133
21802;2;4452;211000000133
22097;9;10832;131000000333
22439;9;25026;131000000133
23902;2;7826;211000000133
24026;10;14879;231000000133
24174;5;26362;511000000233
24374;5;7380;511000000133
24572;11;2551;331000000131
25028;7;25599;711000000133
25090;9;3003;131000000131
26207;5;25369;511000000133
26264;10;24878;231000000133
26497;7;8657;711000000133
26557;7;12650;711000000133
26576;8;9072;811000000133
26665;9; ; 
26759;2;3390;211000000133
26845;2;9939;211000000132
27751;9;9982;131000000131
27789;9;12830;131000000133
27980;3;9426;311000000133
28343;9;17725;131000000133
28929;1;5720;111000000133
29050;3;24972;311000000133
29500;5;25709;511000000131
30036;1;144;111000000131
30620;7;368;711000000133
30880;12;11812;431000000133
31680;8;9358;811000000131
31867;9;9866;131000000131
31929;6;6305;611000000133
33149;9;2064;131000000133
34781;11;4165;351053015133
35163;6;7641;611000000133
35603;4;8194;411000000133
37666;1;4578;111000000133
37706;2;18093;211000000133
38011;11;24790;331000000133
38683;10;16432;231000000133
39212;4;31175;411000000133
40429;2;10571;211000000131
41280;2;10346;211000000132
41605;8;19921;811000000133
42045;7; ; 
42068;10;25387;231000000133
42597;11;14490;331000000133
42713;9;9690;131000000133
42912;6;3669;611000000133
43601;8;22333;811000000133
44968;9;9182;131000000133
45007;11;40230;351052010133
45042;4;8349;411000000133
45050;9;41617;131000000133
45198;9;2041;131000000113
45980;9;8491;131000000122
46600;9;41617;131000000133
47085;3;1331;311000000133
47455;11;8504;361061003111
47503;9;6113;131000000133
47834;11;24828;351053014133
48879;11;4825;361061003133
50439;3;20298;311000000123
50470;9;5216;131000000133
51197;8;6164;811000000233
51306;7;16798;711000000133
52259;11;14879;351054018133
