mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
116;7440697;1;1;0
3694;14572279;0;1;0
5535;26002983;0;1;1
5881;13279188;0;1;1
8762;4208254;0;1;1
11367;727636;0;1;0
13446;25166778;0;1;1
13541;1959820;0;1;1
17864;2799945;0;1;1
18115;26191566;0;1;1
19265;8463660;1;1;1
24174;26615221;0;1;1
24374;20598438;0;1;1
25028;26442049;0;1;0
29500;16501752;0;1;0
29500;23994627;0;1;0
30880;713683;0;1;1
45042;11261541;1;1;1
51197;16529068;0;1;0
52978;18080568;0;1;1
53155;19601488;0;1;0
54441;1200126;0;1;0
56856;25933049;0;1;1
60186;15244967;1;1;0
60186;26297353;0;1;1
65785;18859728;0;1;0
66715;2384037;0;1;0
66715;8725868;0;1;0
70810;26018865;0;1;1
72620;25958979;0;1;0
78426;14171825;0;1;0
79520;7814459;1;1;0
88065;10031109;1;1;0
103302;17823326;0;1;0
104451;19085710;0;1;0
111414;23635556;0;1;0
112755;1745251;0;1;1
112755;25663026;0;1;1
113422;2142859;0;1;1
113631;25903073;0;1;0
115453;305921;0;1;1
115589;15309093;0;1;0
117543;6287500;0;1;1
117990;26055820;0;1;0
120730;3472117;0;1;1
127486;24317460;0;1;0
127620;21990855;0;1;0
129377;971225;0;1;0
135431;6816212;0;1;0
139535;26041966;0;1;0
147658;25724015;0;1;0
155222;6111858;0;1;0
156032;16210817;0;1;0
158414;19339423;0;1;1
158874;18940664;1;1;1
158874;25913301;0;1;1
159885;17419194;0;1;0
161664;14774336;0;1;1
161664;26531343;0;1;0
162034;18117027;0;1;0
163835;11281850;0;1;1
166381;9704641;0;1;0
173880;25722826;0;1;0
174616;20957173;0;1;1
174616;25249410;0;1;1
175254;6093966;0;1;0
175254;25414806;0;1;0
181533;23467966;1;1;0
183104;5961449;0;1;1
188106;7834837;0;1;0
188411;2051414;0;1;0
189677;10792383;0;1;1
194927;1721188;0;1;1
202194;25613717;0;1;1
202990;15965975;0;1;0
203234;8261394;0;1;1
209239;21389995;0;1;1
211258;21889739;0;1;1
217559;20968740;0;1;0
219433;25948299;0;1;1
219749;25373281;0;1;1
222563;5764065;0;1;0
223128;25363878;0;1;1
223161;3626999;0;1;0
224882;26277949;0;1;1
228197;7705129;1;1;1
229171;26331788;0;1;0
229449;14292494;0;1;1
229449;14692886;0;1;1
240015;4795345;0;1;0
244481;25987767;0;1;1
245284;9544733;0;1;0
246076;26619255;0;1;0
247775;26216277;0;1;0
248650;25167292;0;1;1
248854;11834426;0;1;1
249192;13433825;0;1;1
250772;13979016;0;1;0
253969;19755348;0;1;0
254553;10029691;0;1;1
256480;20080660;0;1;1
258263;22604972;0;1;1
264210;2435045;0;1;0
267768;18831369;0;1;0
268852;8124355;0;1;1
272215;17184313;0;1;1
276408;3728545;0;1;1
276408;12069126;0;1;1
279239;26256503;0;1;1
279434;4219825;1;1;1
279481;22675640;0;1;1
285632;25531019;0;1;1
285676;25662373;0;1;0
287548;23634693;0;1;0
287987;16977875;0;1;0
289386;25193519;0;1;1
291960;18967200;0;1;0
293415;25660080;0;1;1
294305;9826582;0;1;0
294305;21256296;0;1;0
294904;24485375;0;1;1
296993;16280078;0;1;1
299631;14989809;1;1;1
299793;719119;0;1;1
307733;26290138;0;1;0
309826;19254274;0;1;0
311965;26210301;0;1;1
312296;19779395;0;1;0
314322;8438856;0;1;0
316372;15354161;0;1;1
319699;25676421;0;1;0
320058;21802;0;1;1
321572;9160650;0;1;1
322094;22169649;0;1;0
326114;25724401;0;1;1
327598;25284780;0;1;1
333659;16093921;0;1;1
335707;26229473;0;1;1
336488;15893543;0;1;0
336488;25571084;0;1;1
337210;22785627;0;1;1
340448;21178958;0;1;1
351849;25378381;0;1;1
352296;25204928;0;1;1
352296;26610755;0;1;1
352816;25922103;0;1;1
353509;22967017;0;1;1
355974;17979300;1;1;0
356999;26179810;0;1;1
361550;4331478;0;1;1
363596;10143307;0;1;0
370199;17013420;0;1;0
372741;16379387;0;1;1
373374;10087221;1;1;1
374478;676851;0;1;1
374478;26436353;0;1;1
374642;5727946;0;1;0
374642;9586873;0;1;0
382122;19168823;0;1;1
387102;26111945;0;1;1
391609;21898531;0;1;1
392364;3671704;0;1;1
392700;25418064;0;1;0
410030;16848146;0;1;1
410030;25316016;0;1;1
410244;21730021;0;1;1
410244;24523505;0;1;1
412144;17469522;0;1;1
413656;26617830;0;1;1
416682;9796056;0;1;1
427651;25191367;0;1;1
433724;11923437;0;1;0
435050;15965259;0;1;0
444056;26607913;0;1;1
446279;24414262;0;1;1
446854;26133590;0;1;1
449652;23680481;0;1;0
453004;25196433;0;1;1
454419;25337335;0;1;1
454736;1280157;0;1;1
455492;21925606;0;1;1
455492;22459662;0;1;1
467461;9727132;0;1;1
467880;23860251;0;1;1
471994;25683603;0;1;1
476263;24508789;1;1;1
480584;8312670;0;1;0
483322;26565012;0;1;1
487005;2691043;0;1;1
487140;26170850;0;1;1
497178;2604708;0;1;1
499732;25719051;0;1;1
502393;25657108;0;1;0
504348;2212831;0;1;0
508774;25732019;0;1;1
512528;963493;0;1;1
512528;6832376;0;1;1
512673;8003374;0;1;1
514515;12165710;0;1;1
514965;6448202;0;1;1
514965;19785034;0;1;1
517986;26615021;0;1;1
529760;12786686;0;1;1
529760;25305224;0;1;1
530833;8611463;0;1;1
536385;1754144;0;1;0
536385;20776667;0;1;0
537274;8872287;0;1;1
537274;24262519;0;1;1
541876;26153756;0;1;1
553599;16273936;0;1;1
553599;18561547;0;1;1
559828;26372919;0;1;1
564291;23941796;0;1;1
564702;25317702;0;1;0
575872;15886197;0;1;1
583223;8926406;1;1;1
587132;4213066;0;1;0
587132;22972077;0;1;1
587543;25723674;0;1;0
587833;16039481;0;1;0
592557;19279183;0;1;1
592557;21408645;0;1;1
592557;26612345;0;1;1
593433;20456241;1;1;1
593433;25323136;0;1;1
594804;14127524;0;1;0
599439;193868;0;1;1
599834;5364047;0;1;1
603588;22882753;0;1;1
604022;2726245;0;1;0
604022;26145284;0;1;0
604197;25960410;0;1;0
604934;21378023;0;1;1
604934;25318115;0;1;0
605066;25907680;0;1;1
608256;6597201;0;1;0
608976;3184742;0;1;1
623279;25166618;0;1;0
623528;24323760;0;1;1
623952;25173334;0;1;1
632531;25914994;0;1;1
633634;11651724;0;1;1
634894;12262471;0;1;0
635201;2339217;1;1;1
644930;7094896;0;1;0
646100;8253642;0;1;1
648593;13952519;0;1;1
651591;17513940;0;1;1
657332;11161178;0;1;1
657332;26382892;0;1;1
662549;8928415;0;1;0
663271;3620380;0;1;0
663271;16549933;0;1;1
663271;26331956;0;1;0
666193;25996443;0;1;0
672302;25340546;0;1;1
674991;3408075;0;1;1
675318;25583082;0;1;1
676851;26436353;0;1;1
679676;12894645;0;1;0
681218;16479700;0;1;1
688466;13256019;0;1;0
689558;10634582;1;1;1
691642;16261204;0;1;1
693039;25985434;0;1;0
694652;20125639;0;1;1
694652;25549458;0;1;1
695865;26613876;0;1;0
701261;25249042;0;1;0
701261;25315156;0;1;0
704696;25387638;0;1;0
709546;3201638;0;1;1
719065;26265738;0;1;0
721061;26365276;0;1;1
725557;26257177;0;1;1
727188;1698148;0;1;1
730277;25573431;0;1;1
740778;7685671;0;1;0
740778;25205086;0;1;0
743317;14156755;0;1;0
743317;18568332;0;1;0
745760;17434007;0;1;1
746388;18102411;0;1;1
747812;433076;0;1;1
750313;19829590;0;1;1
750799;15362889;0;1;1
753468;15988491;0;1;0
753468;26611417;0;1;0
756001;15894747;0;1;1
763641;21740405;0;1;1
763893;21849746;0;1;1
766838;11696107;0;1;1
766838;13711950;0;1;1
770408;10651687;0;1;1
772176;26245742;0;1;1
772612;25409779;0;1;1
781619;26183276;0;1;0
784223;14904182;0;1;0
789501;25690811;0;1;1
792329;26124342;0;1;0
792379;24119765;0;1;1
793532;3897190;1;1;1
798478;25651447;0;1;1
798478;25917154;0;1;0
803738;25308648;0;1;1
807815;966243;0;1;1
808456;19480436;0;1;0
811397;9351490;0;1;1
815546;17905005;1;1;1
816852;23026961;0;1;1
817010;13607283;0;1;1
817227;17975494;0;1;1
818116;12500951;0;1;1
820002;20391062;0;1;0
